compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
Vincristine,ElasticNet,single_omics,expr,1,299.0,75,0.5580534726214053,0.5714651493598861,0.21948673304411062,0.1786476080461095,0.2853555009646662
Vincristine,ElasticNet,single_omics,expr,2,299.0,75,0.6169912534826865,0.5423328591749644,0.19618948658653243,0.159299022903045,0.3515880943274836
Vincristine,ElasticNet,single_omics,expr,3,299.0,75,0.659341985377997,0.5763015647226174,0.14883426430485105,0.12236703991889954,0.42915209026229373
Vincristine,ElasticNet,single_omics,expr,4,299.0,75,0.637964056068787,0.5990327169274537,0.18179726406686522,0.14481649786233902,0.39640870631111036
Vincristine,ElasticNet,single_omics,expr,5,300.0,74,0.5534277745218409,0.4416882636060717,0.1751428892270585,0.14689416216837392,0.3015001990552668
Vincristine,ElasticNet,single_omics,mut,1,299.0,75,,,0.25964782675478504,0.22460488844352464,-9.876354853211033e-05
Vincristine,ElasticNet,single_omics,mut,2,299.0,75,,,0.2442657894874269,0.20125790332754454,-0.005135962605058886
Vincristine,ElasticNet,single_omics,mut,3,299.0,75,,,0.20040159665266546,0.1681775689125061,-0.034944163516678284
Vincristine,ElasticNet,single_omics,mut,4,299.0,75,,,0.23417378933081506,0.1981211577852567,-0.0014859200302574926
Vincristine,ElasticNet,single_omics,mut,5,300.0,74,,,0.2118817620583513,0.17745536404687004,-0.022276598379089574
Vincristine,ElasticNet,single_omics,cnv,1,299.0,75,0.1583297306268698,0.21092460881934566,0.25683361744240274,0.21937942394055426,0.021463017191525657
Vincristine,ElasticNet,single_omics,cnv,2,299.0,75,0.4168681553864336,0.4661166429587482,0.23374156033865343,0.19013848120967547,0.07961104827052057
Vincristine,ElasticNet,single_omics,cnv,3,299.0,75,0.4475344313012307,0.48068278805120906,0.18952797508086303,0.15867122014363608,0.07431929728402675
Vincristine,ElasticNet,single_omics,cnv,4,299.0,75,0.2592353390860738,0.5053200568990042,0.22672993498549132,0.1943414067228635,0.06117205635985712
Vincristine,ElasticNet,single_omics,cnv,5,300.0,74,0.06897085887119347,0.2661680858941132,0.27315855346859497,0.190157016789591,-0.6990684504459515
Vincristine,ElasticNet,single_omics,meth,1,299.0,75,0.5190022112933228,0.4828165007112375,0.2294955456843714,0.1916652119997889,0.2186924377568641
Vincristine,ElasticNet,single_omics,meth,2,299.0,75,0.3205257886356633,0.234540152808968,0.23122847568481186,0.18427584583560624,0.09929587534069106
Vincristine,ElasticNet,single_omics,meth,3,299.0,75,0.6094173574790199,0.5681934566145093,0.15924365531094428,0.13391220251719158,0.3465101585356538
Vincristine,ElasticNet,single_omics,meth,4,299.0,75,0.569850102947052,0.5335988620199146,0.19772041270924756,0.1611829259991646,0.2860442473177325
Vincristine,ElasticNet,single_omics,meth,5,300.0,74,0.5401850761703624,0.41920770085153636,0.1812796992003968,0.15264552428915695,0.2516933391170356
Vincristine,ElasticNet,single_omics,prot,1,299.0,75,,,0.25964782675478504,0.22460488844352464,-9.876354853211033e-05
Vincristine,ElasticNet,single_omics,prot,2,299.0,75,,,0.2442657894874269,0.20125790332754454,-0.005135962605058886
Vincristine,ElasticNet,single_omics,prot,3,299.0,75,,,0.20040159665266546,0.1681775689125061,-0.034944163516678284
Vincristine,ElasticNet,single_omics,prot,4,299.0,75,,,0.23417378933081506,0.1981211577852567,-0.0014859200302574926
Vincristine,ElasticNet,single_omics,prot,5,300.0,74,,,0.2118817620583513,0.17745536404687004,-0.022276598379089574
Vincristine,ElasticNet,early_fusion,multiomics,1,299.0,75,0.5608304848882075,0.5709246088193457,0.21925783436386145,0.17868500519233446,0.2868453029449899
Vincristine,ElasticNet,early_fusion,multiomics,2,299.0,75,0.6060461704287434,0.5307823613086771,0.1987971668720327,0.16248478228847185,0.33423662391948084
Vincristine,ElasticNet,early_fusion,multiomics,3,299.0,75,0.6667425052676463,0.5807396870554764,0.14757645323114468,0.12013103405634562,0.4387598886604288
Vincristine,ElasticNet,early_fusion,multiomics,4,299.0,75,0.6332244274910404,0.6050071123755334,0.1823671301496933,0.14482867191235224,0.39261871188727426
Vincristine,ElasticNet,early_fusion,multiomics,5,300.0,74,0.406709220005817,0.4379266938171047,0.1995203036410783,0.15644958333389178,0.09352577156968422
Vincristine,ElasticNet,signal_fusion,signal_multiomics,1,299.0,75,0.5608454922280433,0.5709246088193457,0.21925582847972264,0.17868285505411527,0.2868583515017814
Vincristine,ElasticNet,signal_fusion,signal_multiomics,2,299.0,75,0.6077418558374992,0.5332005689900426,0.1985469155548591,0.16187408660848934,0.335911731255786
Vincristine,ElasticNet,signal_fusion,signal_multiomics,3,299.0,75,0.6664714598491515,0.5785206258890468,0.1476013250826972,0.12036402583122253,0.43857069510375657
Vincristine,ElasticNet,signal_fusion,signal_multiomics,4,299.0,75,0.6354373633808077,0.6108392603129444,0.18192537847886583,0.1446040752530098,0.39555769250450146
Vincristine,ElasticNet,signal_fusion,signal_multiomics,5,300.0,74,0.5640824269569605,0.43508330248056265,0.17382775003046333,0.14673758841849663,0.31195081476091335
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,299.0,75,0.5608578358756839,0.5709246088193457,0.21925421989844768,0.17868148136573533,0.2868688154616411
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,2,299.0,75,0.6060502407915851,0.5307823613086771,0.19879698579958247,0.16248411312699318,0.334237836727015
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,3,299.0,75,0.6667497104922822,0.5807396870554764,0.14757515123541068,0.12013006925582886,0.4387697917173361
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,4,299.0,75,0.6332195622352965,0.6050071123755334,0.18236796975977326,0.14482936650514602,0.392613119162035
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,5,300.0,74,0.406596099650895,0.4379266938171047,0.19954962780082502,0.15645196308960785,0.09325929695042823
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,1,299.0,75,0.5608396757983393,0.5709246088193457,0.21925631240271026,0.17868269372421006,0.28685520352600924
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,2,299.0,75,0.6077378796873059,0.5332005689900426,0.19854754338637473,0.16187390262881915,0.3359075313798794
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,3,299.0,75,0.666481918251794,0.5785206258890468,0.14759981018762153,0.12036306540171306,0.4385822194193314
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,4,299.0,75,0.6354511326414887,0.6108392603129444,0.18192336827110062,0.14460412174463272,0.39557105015605465
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,5,300.0,74,0.5641045880782452,0.43508330248056265,0.1738250706994592,0.1467354668153299,0.31197202538242086
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,1,299.0,75,0.5580453156024513,0.5710099573257468,0.21948807828263367,0.17864786831972498,0.28534674079731437
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,2,299.0,75,0.6169914838842249,0.5423328591749644,0.19618955058479762,0.1592999559144179,0.35158767129519386
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,3,299.0,75,0.6593310602912831,0.5763015647226174,0.14883607447497804,0.12236784338951111,0.4291382045065917
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,4,299.0,75,0.6379646493885126,0.5990327169274537,0.18179720313211659,0.14481638540824254,0.3964091109341148
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,5,300.0,74,0.5534346889604194,0.4416882636060717,0.175142233896057,0.14689354558248777,0.3015054261897482
Vincristine,ElasticNet,late_fusion,multiomics,1,,75,0.5462827233290056,0.5535135135135136,0.24062783834916915,0.20516035883066558,0.141055217852332
Vincristine,ElasticNet,late_fusion,multiomics,2,,75,0.5953329940464563,0.5343100995732575,0.22448591269641402,0.18355316828687987,0.15105861714527846
Vincristine,ElasticNet,late_fusion,multiomics,3,,75,0.6870294181670322,0.6417638691322901,0.17170755863087842,0.1439018428325653,0.24021031750167654
Vincristine,ElasticNet,late_fusion,multiomics,4,,75,0.6763657432770358,0.6509815078236131,0.20606532638740904,0.17236673496166868,0.22450656921736367
Vincristine,ElasticNet,late_fusion,multiomics,5,,74,0.4018948530489439,0.4593409848204368,0.1950935999992047,0.16482998970392587,0.13330296140896725
Vincristine,RidgeCV,single_omics,expr,1,299.0,75,0.6162038890434716,0.6597155049786628,0.20539640655305413,0.1622543236169743,0.37416594888870414
Vincristine,RidgeCV,single_omics,expr,2,299.0,75,0.60292011045021,0.5368705547652916,0.19572311409781198,0.1571197189591818,0.35466717926812963
Vincristine,RidgeCV,single_omics,expr,3,299.0,75,0.6982326187964385,0.6519772403982931,0.14305954490303113,0.11420391541812051,0.4725901417238768
Vincristine,RidgeCV,single_omics,expr,4,299.0,75,0.6685599785346179,0.6305263157894736,0.174495942122742,0.1401370132390694,0.4439178628919679
