compound,model_family,strategy,omics_layer,fold,weight,weight_fraction
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,expr,1,0.9127644120199119,0.8431553535163311
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,mut,1,0.0,0.0
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,cnv,1,0.09096461873604886,0.08402749302872514
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,meth,1,0.07882877809062983,0.07281715345494373
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,prot,1,0.0,0.0
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,expr,2,0.8560178044209272,0.6223025097880602
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,mut,2,0.0,0.0
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,cnv,2,0.10007422076663477,0.07275133580929377
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,meth,2,0.16088721142036727,0.11696078626241382
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,prot,2,0.25858616921449673,0.18798536814023228
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,expr,3,0.8291724363282472,0.8716677287884743
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,mut,3,0.0,0.0
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,cnv,3,0.03340947658851298,0.035121720527613164
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,meth,3,0.0886663769341316,0.09321055068391246
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,prot,3,0.0,0.0
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,expr,4,0.9656568609298654,0.8130187962760467
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,mut,4,0.0,0.0
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,cnv,4,0.059025701345178594,0.04969571138426564
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,meth,4,0.059630981196768726,0.05020531672779946
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,prot,4,0.103428812981645,0.08708017561188819
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,expr,5,0.8455915410514487,0.7163287882706229
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,mut,5,0.0,0.0
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,cnv,5,0.11624957614004586,0.09847889195985458
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,meth,5,0.13780410559158646,0.11673845253276019
Vincristine,RidgeCV+PositiveStack,learned_late_fusion,prot,5,0.08080648444607416,0.06845386723676244
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,expr,1,0.8926376305300868,0.7788852712382287
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,mut,1,0.0,0.0
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,cnv,1,0.15110773067542713,0.13185147227484748
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,meth,1,0.10229971564004114,0.08926325648692386
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,prot,1,0.0,0.0
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,expr,2,0.7756003786068357,0.603681091520078
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,mut,2,0.0,0.0
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,cnv,2,0.10095260649137153,0.07857548985210223
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,meth,2,0.2118462951027893,0.16488852531487053
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,prot,2,0.19638566586027964,0.15285489331294927
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,expr,3,1.0322157796129618,0.8308094651345271
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,mut,3,0.0,0.0
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,cnv,3,0.060929538459836396,0.04904094498312261
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,meth,3,0.0,0.0
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,prot,3,0.14927646806540204,0.12014958988235043
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,expr,4,0.9470484208457723,0.8617277891291495
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,mut,4,0.0,0.0
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,cnv,4,0.15196269704198517,0.13827221087085054
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,meth,4,0.0,0.0
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,prot,4,0.0,0.0
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,expr,5,0.9099268537799531,0.9013368469776623
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,mut,5,0.0,0.0
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,cnv,5,0.09960344205904936,0.09866315302233772
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,meth,5,0.0,0.0
SB-743921,RidgeCV+PositiveStack,learned_late_fusion,prot,5,0.0,0.0
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,expr,1,0.8655467367243076,0.7904145939755397
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,mut,1,0.0,0.0
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,cnv,1,0.08686589527157548,0.07932566599609694
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,meth,1,0.0,0.0
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,prot,1,0.1426414615411258,0.1302597400283633
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,expr,2,0.7628599400974877,0.6467371253314863
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,mut,2,0.0,0.0
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,cnv,2,0.13936243139621715,0.11814863190860161
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,meth,2,0.04243121772304423,0.03597232248295694
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,prot,2,0.23489821045221598,0.19914192027695513
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,expr,3,0.8069014461574279,0.887156355208317
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,mut,3,0.006826512954038952,0.007505482088212773
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,cnv,3,0.05010882266093021,0.055092676667452205
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,meth,3,0.045700123892846056,0.050245486036018076
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,prot,3,0.0,0.0
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,expr,4,0.7908353676283784,0.4721961819632778
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,mut,4,0.07308938473492263,0.04364059806451819
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,cnv,4,0.03499048649360961,0.020892305533664664
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,meth,4,0.09025812767625817,0.05389180229469772
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,prot,4,0.6856291791805128,0.4093791121438417
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,expr,5,0.7991275489079785,0.7474034181451089
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,mut,5,0.0,0.0
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,cnv,5,0.0,0.0
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,meth,5,0.008852531464899616,0.008279544717416563
Oligomycin A,RidgeCV+PositiveStack,learned_late_fusion,prot,5,0.2612250229316232,0.24431703713747457
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,expr,1,0.8797935174767781,0.7194992690906158
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,mut,1,0.0,0.0
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,cnv,1,0.0968089925407182,0.07917084860344417
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,meth,1,0.24618332906856755,0.2013298823059402
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,prot,1,0.0,0.0
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,expr,2,0.932574688733293,0.8911891384906132
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,mut,2,0.0,0.0
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,cnv,2,0.06313437893594401,0.060332618344475564
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,meth,2,0.0,0.0
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,prot,2,0.05072950351080843,0.04847824316491115
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,expr,3,0.85292707488215,0.8071065877803447
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,mut,3,0.0,0.0
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,cnv,3,0.026924646885615397,0.025478215564961795
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,meth,3,0.17691957436031858,0.16741519665469357
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,prot,3,0.0,0.0
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,expr,4,0.46542451748535585,0.313145073533868
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,mut,4,0.0,0.0
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,cnv,4,0.06749251499912891,0.045410045621528526
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,meth,4,0.7673823217821402,0.5163071229710616
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,prot,4,0.18599104855849954,0.12513775787354195
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,expr,5,0.7297734049074731,0.6220834198946238
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,mut,5,0.0,0.0
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,cnv,5,0.0,0.0
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,meth,5,0.44333840223744514,0.3779165801053762
BI-2536,RidgeCV+PositiveStack,learned_late_fusion,prot,5,0.0,0.0
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,expr,1,0.7272340263580277,0.5857352980206437
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,mut,1,0.15623753025699394,0.1258382213018676
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,cnv,1,0.0,0.0
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,meth,1,0.35810297170100436,0.28842648067748866
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,prot,1,0.0,0.0
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,expr,2,0.9609550384153042,0.6448272704638232
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,mut,2,0.3018521589469695,0.20255110380436564
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,cnv,2,0.0,0.0
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,meth,2,0.10922048876698096,0.07328995305178822
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,prot,2,0.11822417267332183,0.07933167268002299
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,expr,3,0.8034075486389881,0.6377195789410534
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,mut,3,0.10174434793749637,0.0807614551745867
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,cnv,3,0.0,0.0
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,meth,3,0.316876547657795,0.25152661173143614
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,prot,3,0.03778476390504577,0.029992354152923822
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,expr,4,0.7703621381617624,0.495863946903237
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,mut,4,0.0,0.0
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,cnv,4,0.0,0.0
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,meth,4,0.4193279546164307,0.26991151865163865
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,prot,4,0.3638855260439009,0.23422453444512434
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,expr,5,0.8946000248568347,0.5308985979646905
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,mut,5,0.24179359413431273,0.1434919255041303
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,cnv,5,0.0,0.0
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,meth,5,0.15651447675124014,0.09288320362131466
"1S,3R-RSL-3",RidgeCV+PositiveStack,learned_late_fusion,prot,5,0.3921595015096466,0.23272627290986456
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,expr,1,0.7894343305314133,0.6105940331847882
docetaxel:tanespimycin (2:1 mol/mol),RidgeCV+PositiveStack,learned_late_fusion,mut,1,0.0,0.0
