compound,model_family,strategy,omics_layer_model,fold,omics_layer,raw_importance,importance_fraction
Vincristine,ElasticNet,single_omics,expr,1,expr,0.18652132581337355,1.0
Vincristine,ElasticNet,single_omics,expr,2,expr,0.17926122967037372,1.0
Vincristine,ElasticNet,single_omics,expr,3,expr,0.19906561597599648,1.0
Vincristine,ElasticNet,single_omics,expr,4,expr,0.1828066314337775,1.0
Vincristine,ElasticNet,single_omics,expr,5,expr,0.18620354974700604,1.0
Vincristine,ElasticNet,single_omics,mut,1,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,2,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,3,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,4,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,5,mut,0.0,
Vincristine,ElasticNet,single_omics,cnv,1,cnv,0.08652510482352227,1.0
Vincristine,ElasticNet,single_omics,cnv,2,cnv,0.07665783546690363,1.0
Vincristine,ElasticNet,single_omics,cnv,3,cnv,0.07920238981023431,1.0
Vincristine,ElasticNet,single_omics,cnv,4,cnv,0.09765133765313294,1.0
Vincristine,ElasticNet,single_omics,cnv,5,cnv,0.11167960559396306,1.0
Vincristine,ElasticNet,single_omics,meth,1,meth,0.18569792683410924,1.0
Vincristine,ElasticNet,single_omics,meth,2,meth,0.1970058936967689,1.0
Vincristine,ElasticNet,single_omics,meth,3,meth,0.21689794858684763,1.0
Vincristine,ElasticNet,single_omics,meth,4,meth,0.1939557974692434,1.0
Vincristine,ElasticNet,single_omics,meth,5,meth,0.21458552566218714,1.0
Vincristine,ElasticNet,single_omics,prot,1,prot,0.0,
Vincristine,ElasticNet,single_omics,prot,2,prot,0.0,
Vincristine,ElasticNet,single_omics,prot,3,prot,0.0,
Vincristine,ElasticNet,single_omics,prot,4,prot,0.0,
Vincristine,ElasticNet,single_omics,prot,5,prot,0.0,
Vincristine,ElasticNet,early_fusion,multiomics,1,cnv,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,1,expr,0.18629351601703092,0.9818750761630455
Vincristine,ElasticNet,early_fusion,multiomics,1,meth,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,1,mut,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,1,prot,0.003438885323703289,0.018124923836954486
Vincristine,ElasticNet,early_fusion,multiomics,2,cnv,0.005328841973096132,0.026338963348281254
Vincristine,ElasticNet,early_fusion,multiomics,2,expr,0.1591815622523427,0.7867895792471025
Vincristine,ElasticNet,early_fusion,multiomics,2,meth,0.030531704585882835,0.15090960702309636
Vincristine,ElasticNet,early_fusion,multiomics,2,mut,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,2,prot,0.007275723619386554,0.03596185038151995
Vincristine,ElasticNet,early_fusion,multiomics,3,cnv,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,3,expr,0.19568503796472214,0.9031365507907738
Vincristine,ElasticNet,early_fusion,multiomics,3,meth,0.0057781480718404055,0.026667632711403724
Vincristine,ElasticNet,early_fusion,multiomics,3,mut,0.0025646769208833575,0.011836640615502086
Vincristine,ElasticNet,early_fusion,multiomics,3,prot,0.012644840404391289,0.05835917588232039
Vincristine,ElasticNet,early_fusion,multiomics,4,cnv,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,4,expr,0.17680646933149546,0.878915750508188
Vincristine,ElasticNet,early_fusion,multiomics,4,meth,0.011264485539868474,0.0559964451515604
Vincristine,ElasticNet,early_fusion,multiomics,4,mut,0.0030281387735158205,0.015053062666941104
Vincristine,ElasticNet,early_fusion,multiomics,4,prot,0.010065203648991883,0.0500347416733104
Vincristine,ElasticNet,early_fusion,multiomics,5,cnv,0.02290196157991886,0.10705905257008982
Vincristine,ElasticNet,early_fusion,multiomics,5,expr,0.1732336574496003,0.8098097263453446
Vincristine,ElasticNet,early_fusion,multiomics,5,meth,0.009055649337824434,0.042332148498778505
Vincristine,ElasticNet,early_fusion,multiomics,5,mut,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,5,prot,0.00872769532725215,0.04079907258578702
Vincristine,ElasticNet,signal_fusion,signal_multiomics,1,expr,0.18629280576715246,0.9818754095503269
Vincristine,ElasticNet,signal_fusion,signal_multiomics,1,meth,0.0,0.0
Vincristine,ElasticNet,signal_fusion,signal_multiomics,1,prot,0.0034388077910989523,0.018124590449673107
Vincristine,ElasticNet,signal_fusion,signal_multiomics,2,expr,0.1592068366589956,0.801547742821756
Vincristine,ElasticNet,signal_fusion,signal_multiomics,2,meth,0.03221331872919109,0.1621821867580081
Vincristine,ElasticNet,signal_fusion,signal_multiomics,2,prot,0.0072041163221001625,0.03627007042023585
Vincristine,ElasticNet,signal_fusion,signal_multiomics,3,expr,0.19581582973478362,0.9146393438612497
Vincristine,ElasticNet,signal_fusion,signal_multiomics,3,meth,0.005537454737350345,0.025864987393977832
Vincristine,ElasticNet,signal_fusion,signal_multiomics,3,prot,0.012737472774460912,0.0594956687447725
Vincristine,ElasticNet,signal_fusion,signal_multiomics,4,expr,0.17660508478002157,0.8908638134194596
Vincristine,ElasticNet,signal_fusion,signal_multiomics,4,meth,0.011440468020737171,0.057710110560815805
Vincristine,ElasticNet,signal_fusion,signal_multiomics,4,prot,0.010194719303399324,0.05142607601972461
Vincristine,ElasticNet,signal_fusion,signal_multiomics,5,expr,0.18154627814510604,0.9065130864107287
Vincristine,ElasticNet,signal_fusion,signal_multiomics,5,meth,0.009968258760636672,0.04977439971544318
Vincristine,ElasticNet,signal_fusion,signal_multiomics,5,prot,0.008754252223297954,0.04371251387382814
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,cnv,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,expr,0.18629089175374247,0.9818753231017838
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,meta,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,meth,0.0,0.0
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,mut,0.0,0.0
