compound,model_family,strategy,omics_layer_model,fold,feature,omics_layer,importance
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,expr::global_abs_mean,expr,0.027856287986977746
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,expr::mapk_signaling,expr,0.019281684348273903
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,expr::drug_transport_metabolism,expr,0.01843659863837324
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,cnv::microtubule_spindle,cnv,0.01764455071290203
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,expr::oxidative_stress_ferroptosis,expr,0.017509747729255905
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,expr::receptor_tyrosine_kinase,expr,0.01741030075273401
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,expr::global_mean,expr,0.015936114881571983
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,cnv::apoptosis,cnv,0.01451318403626876
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,cnv::cell_cycle_mitosis,cnv,0.013085494550406238
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,cnv::receptor_tyrosine_kinase,cnv,0.012314147754031182
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,expr::proteasome_er_stress,expr,0.011835588036921798
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,expr::dna_damage_repair,expr,0.010517224960861639
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,mut::cell_cycle_mitosis,mut,0.0102800904955286
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,expr::apoptosis,expr,0.010112621394511351
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,expr::chromatin_hdac,expr,0.009798767277345233
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,meth::dna_damage_repair,meth,0.009458918192541346
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,meth::global_mean,meth,0.008342569409521213
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,cnv::dna_damage_repair,cnv,0.007770511492536454
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,cnv::chromatin_hdac,cnv,0.007503306455125716
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,expr::microtubule_spindle,expr,0.007138362938417443
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,cnv::drug_transport_metabolism,cnv,0.0068700608473839355
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,meth::microtubule_spindle,meth,0.006842938615099999
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,prot::chromatin_hdac,prot,0.0067493662814615205
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,prot::microtubule_spindle,prot,0.006146176889261451
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,meth::emt_adhesion,meth,0.006047817926336439
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,prot::emt_adhesion,prot,0.005507698454463485
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,mut::dna_damage_repair,mut,0.005467526573444138
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,cnv::oxidative_stress_ferroptosis,cnv,0.005137838424209482
