compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,1,299,75,0.5350586364621901,0.5796586059743954,0.22155321782069895,0.175566810336258,0.27183528440783233
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,2,299,75,0.5678045207186864,0.537923186344239,0.2040236928838846,0.16368202316004704,0.2987696131063474
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,3,299,75,0.7277268549521727,0.713854907539118,0.13676218622506797,0.11331215546887155,0.5180004483199623
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,4,299,75,0.6148359510264652,0.5452062588904694,0.18543571127231956,0.14872087976836784,0.37200667221572137
Vincristine,RidgeCV,pathway_modules,multiomics_pathway,5,300,74,0.49935207949066474,0.4252499074416882,0.18172247413355833,0.15254159386401012,0.24803340288521292
SB-743921,RidgeCV,pathway_modules,multiomics_pathway,1,282,71,0.5081982572436121,0.5599932930918846,0.199754059573694,0.15943687529981238,0.22242428962074567
SB-743921,RidgeCV,pathway_modules,multiomics_pathway,2,282,71,0.46103300295080113,0.47595573440643857,0.22001859224037915,0.1749411516623412,0.21214494983652965
SB-743921,RidgeCV,pathway_modules,multiomics_pathway,3,282,71,0.5370384783341327,0.6123407109322601,0.21919761910757357,0.18408091232436077,0.2755425844623308
SB-743921,RidgeCV,pathway_modules,multiomics_pathway,4,283,70,0.4261064846116648,0.34945324118624793,0.1980788030667531,0.1653447597440791,0.16517302895637664
SB-743921,RidgeCV,pathway_modules,multiomics_pathway,5,283,70,0.47840776604130675,0.4382643688216254,0.22468403544378895,0.18772780415012444,0.2091610942636628
Oligomycin A,RidgeCV,pathway_modules,multiomics_pathway,1,271,68,0.26748712242519673,0.1948007330782615,0.23123712987619088,0.18795002939450595,-0.08603239785431205
Oligomycin A,RidgeCV,pathway_modules,multiomics_pathway,2,271,68,0.370546928691601,0.4331411993739741,0.22776931438676137,0.17187352339880482,0.10171962097178944
Oligomycin A,RidgeCV,pathway_modules,multiomics_pathway,3,271,68,0.4394098790662594,0.43688208573500775,0.20816029324298133,0.17115074654259788,0.1913450857083273
Oligomycin A,RidgeCV,pathway_modules,multiomics_pathway,4,271,68,0.42199149271337283,0.44134824598236433,0.20626484950146123,0.15733220428437136,0.13559578326298505
Oligomycin A,RidgeCV,pathway_modules,multiomics_pathway,5,272,67,0.3018571518899239,0.3450794157554474,0.26147886930703024,0.2012912743904607,0.0571685896864651
BI-2536,RidgeCV,pathway_modules,multiomics_pathway,1,287,72,0.6514888901070308,0.5627049971059233,0.1665594379119267,0.133835661131512,0.3977812341122213
BI-2536,RidgeCV,pathway_modules,multiomics_pathway,2,287,72,0.38402175683542206,0.4719917679593544,0.213169704836596,0.16915848867740932,0.1430982258803779
BI-2536,RidgeCV,pathway_modules,multiomics_pathway,3,287,72,0.47666784692812425,0.46398482217505954,0.17271298409508204,0.14053769231222724,0.2261607422694163
BI-2536,RidgeCV,pathway_modules,multiomics_pathway,4,287,72,0.5858768228220981,0.4510579458486077,0.1744475826212231,0.14081288200298442,0.324062517284725
BI-2536,RidgeCV,pathway_modules,multiomics_pathway,5,288,71,0.47520837098118257,0.43534540576794095,0.1745766441724287,0.1399898495546338,0.22310978913181267
"1S,3R-RSL-3",RidgeCV,pathway_modules,multiomics_pathway,1,292,74,0.4726594720254567,0.476223620881155,0.19707181880162655,0.16515587341935897,0.21267203752945785
"1S,3R-RSL-3",RidgeCV,pathway_modules,multiomics_pathway,2,293,73,0.4094636231658807,0.38997902011600644,0.18040028395139673,0.14612590181806173,0.15006889018391167
"1S,3R-RSL-3",RidgeCV,pathway_modules,multiomics_pathway,3,293,73,0.44285364987503045,0.43295692953227205,0.18308169977974365,0.1458368651738813,0.16435094121726168
