omics_layer,module,n_requested_genes,n_available_features
expr,cell_cycle_mitosis,20,0
expr,microtubule_spindle,18,3
expr,apoptosis,16,6
expr,dna_damage_repair,15,1
expr,mapk_signaling,16,7
expr,pi3k_akt_mtor,14,0
expr,emt_adhesion,15,14
expr,oxidative_stress_ferroptosis,14,9
expr,proteasome_er_stress,14,2
expr,chromatin_hdac,14,1
expr,drug_transport_metabolism,13,5
expr,receptor_tyrosine_kinase,16,11
mut,cell_cycle_mitosis,20,3
mut,microtubule_spindle,18,1
mut,apoptosis,16,0
mut,dna_damage_repair,15,5
mut,mapk_signaling,16,4
mut,pi3k_akt_mtor,14,3
mut,emt_adhesion,15,3
mut,oxidative_stress_ferroptosis,14,1
mut,proteasome_er_stress,14,0
mut,chromatin_hdac,14,5
mut,drug_transport_metabolism,13,1
mut,receptor_tyrosine_kinase,16,6
cnv,cell_cycle_mitosis,20,4
cnv,microtubule_spindle,18,2
cnv,apoptosis,16,5
cnv,dna_damage_repair,15,2
cnv,mapk_signaling,16,8
cnv,pi3k_akt_mtor,14,5
cnv,emt_adhesion,15,3
cnv,oxidative_stress_ferroptosis,14,2
cnv,proteasome_er_stress,14,4
cnv,chromatin_hdac,14,3
cnv,drug_transport_metabolism,13,3
cnv,receptor_tyrosine_kinase,16,7
meth,cell_cycle_mitosis,20,3
meth,microtubule_spindle,18,4
meth,apoptosis,16,4
meth,dna_damage_repair,15,7
meth,mapk_signaling,16,5
meth,pi3k_akt_mtor,14,2
meth,emt_adhesion,15,4
meth,oxidative_stress_ferroptosis,14,2
meth,proteasome_er_stress,14,3
meth,chromatin_hdac,14,4
meth,drug_transport_metabolism,13,3
meth,receptor_tyrosine_kinase,16,7
prot,cell_cycle_mitosis,20,8
prot,microtubule_spindle,18,12
prot,apoptosis,16,7
prot,dna_damage_repair,15,4
prot,mapk_signaling,16,6
prot,pi3k_akt_mtor,14,2
prot,emt_adhesion,15,4
prot,oxidative_stress_ferroptosis,14,7
prot,proteasome_er_stress,14,7
prot,chromatin_hdac,14,4
prot,drug_transport_metabolism,13,1
prot,receptor_tyrosine_kinase,16,1
