ModelID,expr::cell_cycle_mitosis,expr::microtubule_spindle,expr::apoptosis,expr::dna_damage_repair,expr::mapk_signaling,expr::pi3k_akt_mtor,expr::emt_adhesion,expr::oxidative_stress_ferroptosis,expr::proteasome_er_stress,expr::chromatin_hdac,expr::drug_transport_metabolism,expr::receptor_tyrosine_kinase,expr::global_mean,expr::global_abs_mean,mut::cell_cycle_mitosis,mut::microtubule_spindle,mut::apoptosis,mut::dna_damage_repair,mut::mapk_signaling,mut::pi3k_akt_mtor,mut::emt_adhesion,mut::oxidative_stress_ferroptosis,mut::proteasome_er_stress,mut::chromatin_hdac,mut::drug_transport_metabolism,mut::receptor_tyrosine_kinase,mut::global_mean,mut::global_abs_mean,cnv::cell_cycle_mitosis,cnv::microtubule_spindle,cnv::apoptosis,cnv::dna_damage_repair,cnv::mapk_signaling,cnv::pi3k_akt_mtor,cnv::emt_adhesion,cnv::oxidative_stress_ferroptosis,cnv::proteasome_er_stress,cnv::chromatin_hdac,cnv::drug_transport_metabolism,cnv::receptor_tyrosine_kinase,cnv::global_mean,cnv::global_abs_mean,meth::cell_cycle_mitosis,meth::microtubule_spindle,meth::apoptosis,meth::dna_damage_repair,meth::mapk_signaling,meth::pi3k_akt_mtor,meth::emt_adhesion,meth::oxidative_stress_ferroptosis,meth::proteasome_er_stress,meth::chromatin_hdac,meth::drug_transport_metabolism,meth::receptor_tyrosine_kinase,meth::global_mean,meth::global_abs_mean,prot::cell_cycle_mitosis,prot::microtubule_spindle,prot::apoptosis,prot::dna_damage_repair,prot::mapk_signaling,prot::pi3k_akt_mtor,prot::emt_adhesion,prot::oxidative_stress_ferroptosis,prot::proteasome_er_stress,prot::chromatin_hdac,prot::drug_transport_metabolism,prot::receptor_tyrosine_kinase,prot::global_mean,prot::global_abs_mean
ACH-000004,0.0,-1.3114307,-0.21906276,0.6467796,-1.1402225,0.0,-0.35299265,-0.2924347,0.56632257,0.5472789,0.120854214,-0.4299838,-0.12397265,0.9921179,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.034,-0.29037145,0.36945897,0.39231583,0.7616393,0.005842967,-0.15447065,-0.856959,0.47807056,-0.5047116,0.37588507,-0.6312921,-0.049415085,0.029618166,0.7234888,0.4074375,-0.3367559,0.58705604,-0.06367906,0.7917678,0.1001513,0.19939987,1.0215068,-0.21735561,0.40209264,1.0028275,0.74939805,0.20796154,0.6902552,-0.62197644,-0.4187231,0.50383097,-0.17269105,-0.54800844,-0.7730106,-0.31503457,0.19087656,-0.3729993,0.8664078,-1.0467392,0.098634824,-0.11478366,0.72523886
ACH-000007,0.0,-1.2763734,-0.012647241,0.9460317,0.25445613,0.0,-0.7003767,-0.30300325,-0.8069945,-0.1873103,0.8260824,0.007542512,-0.10543184,0.8603095,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.054,-0.51367664,-0.97298646,-0.1242632,-0.30714267,-0.107768945,-0.26736337,-0.73926675,-0.526651,-0.113660716,-0.23026264,0.27745232,0.047827758,-0.08480222,0.5279512,0.15869957,0.12787111,-0.85206634,0.2062299,-0.057813678,-1.0464575,1.4041858,0.60189503,-0.23086323,0.32122692,-0.57352495,-0.036603678,0.08807717,0.7801763,-0.8894309,-0.84545094,0.36676615,0.31742117,-0.60067403,0.13458946,-0.061807062,0.019865287,0.64624757,-0.6388531,-0.8262607,-0.82868147,0.11659972,0.713071
ACH-000009,0.0,-0.6379674,-0.050451785,-2.1254494,0.44933158,0.0,-0.20041819,0.09678931,-0.0034247786,1.0234042,1.6006178,0.6609058,0.07857189,0.7854835,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.33333334,0.062,0.062,1.4185381,2.255559,0.18568139,0.56980705,-0.16209896,-0.34349424,1.6798235,-0.7990065,-0.36241046,1.112328,-0.059683453,-0.09696737,0.19068667,0.7504092,0.17419142,-0.20604834,-0.18491183,0.4879033,0.027374119,1.2106359,0.43332994,-0.097079724,-0.24817485,-1.0248417,1.2064941,0.4158924,0.23499809,0.8495994,0.1662062,-0.08482584,0.46874052,-0.2976646,0.13609496,0.84018713,0.2587307,0.035753567,-0.5115007,-0.0553628,-2.0294821,0.45707452,0.15598834,0.66635036
ACH-000011,0.0,0.3757063,0.319056,0.28790906,0.25018355,0.0,0.15837125,0.18146306,0.073028766,0.6913693,0.06417715,-0.06881491,-0.09383217,0.7183341,0.0,0.0,0.0,0.2,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.002028484,-0.45257008,-0.3804079,-0.21318638,-0.04129235,-0.2610049,-0.5495879,-0.010044783,-0.037761055,0.18008816,0.6533239,-0.090442225,-0.16832484,0.4982715,-0.44197923,0.62651557,-0.7883015,-0.6667944,-0.70758706,0.11521,-0.46423507,0.3402763,-0.67552394,-0.58440286,-0.9815754,-0.82286906,-0.19040623,1.0551265,0.31102663,-0.13133322,-0.252019,-0.8303291,0.14270689,-0.13779722,0.27521196,-0.27328655,-0.93497276,-0.1600379,0.06742466,2.1322296,-0.15809187,0.7518763
ACH-000014,0.0,0.5269605,0.06981099,0.6016545,0.066624776,0.0,0.89149916,-0.033416975,-0.13891535,-0.67648697,0.1859173,-0.14094615,0.26724237,0.744354,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.032,0.1282395,0.6617795,-0.1039481,-0.5169985,-0.18848188,-0.14346856,0.24772453,-0.34445888,-0.1824304,1.0334392,0.23491204,-0.09482155,-0.014076467,0.50355816,-1.3666955,0.1700531,-0.24411304,0.2502666,-0.1983545,-0.7536298,-0.09693062,0.8318855,-0.67552394,0.45468873,-0.9815754,-0.5267515,0.06694503,0.63378876,-0.8542676,-0.5179275,0.017748395,0.55319875,-0.12535582,0.16975063,-0.12078869,-0.2704922,0.6442581,-0.36351487,-2.7039967,0.098634824,-0.13903877,0.849523
ACH-000017,0.0,-1.438892,-1.1343583,-0.14789127,0.23003796,0.0,-1.0315882,-1.0832671,0.40422398,0.33267552,-0.5345642,0.18541119,-0.16747367,0.8137887,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.064,0.064,2.857422,0.90593535,-0.35416317,0.27808684,0.24848789,-0.15310034,1.9231006,0.6029004,0.6748066,-0.93880993,0.62863857,0.47773758,0.5982896,1.0250611,0.064572796,-0.10209141,-0.3071307,-0.07619122,0.069707215,-0.9632286,-0.007197302,-0.3772231,0.32260665,0.5646905,-0.58184516,-0.38874048,-0.21161096,0.7514539,0.21302696,-0.09230792,0.00569141,-0.5013075,0.0070943646,0.42358392,-0.6967865,-0.34458593,-1.1620622,0.18116736,-0.308746,0.098634824,-0.089578636,0.7519847
ACH-000019,0.0,0.10049469,-0.4379905,1.1881443,-0.38330755,0.0,-0.64502376,-0.6441024,0.91264105,0.9727235,-0.0029756129,0.06462452,-0.16382656,0.7569407,0.0,1.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.2,0.0,0.16666667,0.126,0.126,0.13141793,1.2951654,-0.06190905,-0.48221043,0.08247687,2.6182895,1.7668808,-0.32549804,0.4887721,-0.17826912,0.009050111,-0.4295998,0.33746886,0.9776406,-0.20135756,0.022204239,0.04713562,-0.39664528,0.15037821,-0.0712609,1.0086817,-0.12154384,-0.22570257,-1.0248417,-0.9815754,0.2384848,-0.03830481,0.7526921,-0.19466852,0.16274971,-0.00525077,-0.5287161,-0.19725625,0.4511773,0.46995974,0.08925747,0.5447568,-0.008313751,-0.093649864,0.8659503,0.28307718,0.6709455
ACH-000022,0.0,-1.2468414,-0.23265475,0.32960755,0.17417334,0.0,-0.7983234,-0.28278682,-0.6338018,-0.77243775,0.056873642,0.19018976,-0.112526506,0.74843913,0.0,0.0,0.0,0.4,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.037,0.037,-0.4418531,0.38632372,-0.43632746,-0.47292042,-0.15943678,-0.03375141,0.055007342,0.009036541,-0.48691332,-0.21699646,-0.27727354,-0.018324805,-0.060906958,0.6049284,0.15401317,-0.39137504,0.43046975,-0.67168605,-0.35456187,-0.79391867,0.13699788,-0.2148273,-0.2086777,0.85886633,-0.18211494,0.3301254,-0.083512604,0.9346957,0.3827677,0.04768077,0.7740528,1.0168307,-0.5473948,-0.13490003,-0.13830996,-0.044873986,-0.4253957,0.436456,-1.3104392,-0.7531478,0.045081433,0.73993105
ACH-000024,0.0,-0.9138284,0.32820946,0.8388175,-0.87948775,0.0,-0.5733001,-0.55458915,2.1489563,-1.1973314,-0.39626586,-0.62101984,-0.41042858,0.9482284,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.067,-0.2255661,-0.7678824,0.45423916,0.17639443,-0.16203871,0.04138703,-0.13200592,-0.6803035,-0.38438696,-0.14598498,-0.9805131,0.49152085,-0.085237525,0.71145946,0.16119604,0.08406106,-0.38076335,0.050388284,-0.26705873,0.0016606748,-0.05359701,-0.23995,-0.18136254,-0.17556626,-0.5606306,-0.10391331,-0.02609372,0.4024207,0.74724543,0.5357897,-0.43151966,0.24575391,-0.027194016,0.65278935,-0.69163024,0.4963469,0.0005387164,-0.33978772,1.2423815,0.74604845,0.16400228,0.59151155
ACH-000035,0.0,0.40993544,0.04676315,-1.0522637,0.34150612,0.0,0.26045457,0.3600461,-0.28243166,-0.38625386,0.13772002,0.35850748,0.25779188,0.6927274,0.0,0.0,0.0,0.2,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.051,0.051,-0.05231063,1.44908,0.36876607,0.48313844,-0.19121432,0.31604823,1.4075857,-0.43376657,0.17698695,0.67248493,-0.3978144,-0.23982842,0.18713842,0.68581593,-0.5866118,-0.6187474,-0.8077464,0.02029132,-0.51992524,1.081502,-1.2658124,-0.08974652,-0.67552394,-1.0248417,-0.9815754,-0.99510556,-0.30970505,0.9821621,-0.34794033,-1.1358713,-0.6943578,-0.86750054,-0.3406428,-0.33038875,0.07291635,-0.22404665,-0.42822656,0.05966066,1.369735,0.3552829,-0.2155224,0.7922618
