k_features,compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
250,Vincristine,RidgeSelectK,single_omics,expr,1,299,75,0.5975652239154156,0.6163584637268847,0.2104434347901921,0.16709114296915478,0.34303191903512553
250,Vincristine,RidgeSelectK,single_omics,expr,2,299,75,0.6125397180328027,0.5343100995732575,0.1943197780936383,0.15613402161821832,0.3638880844216341
250,Vincristine,RidgeSelectK,single_omics,expr,3,299,75,0.7147620888758249,0.6505547652916074,0.13886593524970853,0.11234501863828751,0.5030576471459247
250,Vincristine,RidgeSelectK,single_omics,expr,4,299,75,0.6436059878010406,0.6016500711237553,0.180733881878546,0.13917030376942335,0.40344919793368095
250,Vincristine,RidgeSelectK,single_omics,expr,5,300,74,0.5992571165672539,0.522665679378008,0.16793610098731032,0.1413364508436537,0.357801334247593
500,Vincristine,RidgeSelectK,single_omics,expr,1,299,75,0.5998442605538374,0.6320910384068279,0.20940899719411904,0.16562304016236787,0.3494747164543195
500,Vincristine,RidgeSelectK,single_omics,expr,2,299,75,0.6299065798156522,0.5585206258890469,0.19097726872294873,0.15500698763990386,0.38558349297479977
500,Vincristine,RidgeSelectK,single_omics,expr,3,299,75,0.7118405219750376,0.662873399715505,0.13942220433168417,0.11201658379154833,0.4990683702245794
500,Vincristine,RidgeSelectK,single_omics,expr,4,299,75,0.668544081145571,0.6445234708392602,0.1760461996059939,0.13869287052722426,0.4339932779562904
500,Vincristine,RidgeSelectK,single_omics,expr,5,300,74,0.5547164904000114,0.5145205479452054,0.17565044683183148,0.1433396415685571,0.29744587982760473
1000,Vincristine,RidgeSelectK,single_omics,expr,1,299,75,0.6162038890434716,0.6597155049786628,0.20539640655305413,0.1622543236169743,0.37416594888870414
1000,Vincristine,RidgeSelectK,single_omics,expr,2,299,75,0.60292011045021,0.5368705547652916,0.19572311409781198,0.1571197189591818,0.35466717926812963
1000,Vincristine,RidgeSelectK,single_omics,expr,3,299,75,0.6982326187964385,0.6519772403982931,0.14305954490303113,0.11420391541812051,0.4725901417238768
1000,Vincristine,RidgeSelectK,single_omics,expr,4,299,75,0.6685599785346179,0.6305263157894736,0.174495942122742,0.1401370132390694,0.4439178628919679
1000,Vincristine,RidgeSelectK,single_omics,expr,5,300,74,0.598849483347489,0.5584746390225841,0.16788057533329614,0.13643745347184827,0.3582259315286822
