strategy,strategy_label,model_family,omics_layer,mean_pearson,mean_spearman,mean_rmse,mean_mae,mean_r2,n_folds
single_omics,Expression,RidgeSelectK,expr,0.5599877057887185,0.544665914121294,0.17142590673506158,0.13653756413195872,0.3003056413240923,60
single_omics,Expression,RidgeCV,expr,0.5599877057887185,0.544665914121294,0.17142590673506158,0.13653756413195872,0.3003056413240923,60
metadata_augmented,Expression + lineage,RidgeCV,expr_plus_lineage,0.5583751515073305,0.5420185137944044,0.17167544010054378,0.13683473946761965,0.2981166956612476,60
metadata_augmented,Expression + lineage,RidgeSelectK,expr_plus_lineage,0.5578467545820635,0.5419131578584495,0.17173244916341918,0.13687069522332557,0.2975462659373496,60
learned_late_fusion,Learned late fusion,RidgeCV+PositiveStack,multiomics,0.5561179666878069,0.5375284945631938,0.17181470507703916,0.13684539937592158,0.2969756614218245,60
learned_late_fusion,Learned late fusion,RidgeSelectK+PositiveStack,multiomics,0.5561179666878069,0.5375284945631938,0.17181470507703916,0.13684539937592158,0.2969756614218245,60
early_fusion,Early fusion,XGBoost,multiomics,0.5346956953416021,0.5129097340974031,0.17533780755468864,0.14061283915996645,0.26930165225253966,60
single_omics,Expression,XGBoost,expr,0.5342212505670381,0.5139343915000725,0.175181219446384,0.1404918723616676,0.2709171627681207,60
metadata_augmented,Expression + lineage,XGBoost,expr_plus_lineage,0.5330782012636537,0.5162721592389393,0.17520182966201625,0.14028579989025858,0.2705935756831137,60
early_fusion_lineage,Early fusion + lineage,XGBoost,multiomics_plus_lineage,0.5320234803795196,0.5089030045076997,0.17561042888167663,0.14080319276536105,0.26699472890142967,60
single_omics,Expression,LightGBM,expr,0.5297135057765686,0.515337237897273,0.17530841344076142,0.13969947209411973,0.2694374151190247,60
metadata_augmented,Expression + lineage,LightGBM,expr_plus_lineage,0.5283205996504141,0.5122818545960338,0.17547243217190817,0.13976831433053463,0.26811706735457064,60
signal_fusion_lineage,Focused fusion + lineage,XGBoost,signal_multiomics_plus_lineage,0.5277355134723828,0.5069842914044546,0.17615816285171687,0.141656562589816,0.26242920868271147,60
early_fusion,Early fusion,LightGBM,multiomics,0.5274845641825642,0.514047224738345,0.17545658375599776,0.14025333329912398,0.2672084835400569,60
signal_fusion,Focused fusion,XGBoost,signal_multiomics,0.5271958381902345,0.5067378840343213,0.17615016273975323,0.141643706599601,0.2627330975878879,60
