model_family,strategy,omics_layer,mean_pearson,mean_spearman,mean_r2,mean_rmse,mean_mae,n_folds,n_compounds,rank,feature_key
RidgeCV,single_omics,expr,0.5599877057887185,0.544665914121294,0.30030564132409227,0.17142590673506153,0.13653756413195867,60,12,1,
RidgeSelectK,single_omics,expr,0.5599877057887185,0.544665914121294,0.30030564132409227,0.17142590673506153,0.13653756413195867,60,12,2,
RidgeCV,metadata_augmented,expr_plus_lineage,0.5583751515073305,0.5420185137944044,0.2981166956612475,0.17167544010054375,0.13683473946761962,60,12,3,
RidgeSelectK,metadata_augmented,expr_plus_lineage,0.5578467545820635,0.5419131578584495,0.2975462659373495,0.1717324491634191,0.1368706952233255,60,12,4,
RidgeCV+PositiveStack,learned_late_fusion,multiomics,0.5561179666878069,0.5375284945631938,0.29697566142182447,0.17181470507703914,0.1368453993759215,60,12,5,
RidgeSelectK+PositiveStack,learned_late_fusion,multiomics,0.5561179666878069,0.5375284945631938,0.29697566142182447,0.17181470507703914,0.1368453993759215,60,12,6,
XGBoost,early_fusion,multiomics,0.5346956953416021,0.5129097340974031,0.26930165225253966,0.1753378075546886,0.1406128391599664,60,12,7,
XGBoost,single_omics,expr,0.5342212505670381,0.5139343915000725,0.2709171627681207,0.17518121944638398,0.14049187236166755,60,12,8,
XGBoost,metadata_augmented,expr_plus_lineage,0.5330782012636537,0.5162721592389392,0.27059357568311365,0.1752018296620162,0.14028579989025855,60,12,9,
XGBoost,early_fusion_lineage,multiomics_plus_lineage,0.5320234803795196,0.5089030045076995,0.26699472890142967,0.17561042888167658,0.14080319276536102,60,12,10,
