compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
Vincristine,ElasticNet,single_omics,expr,1,299.0,75,0.213454266154255,0.39445234708392596,0.2607493531855712,0.2086095461094131,-0.00860237412313336
Vincristine,ElasticNet,single_omics,expr,2,299.0,75,0.556800871976582,0.5130298719772403,0.20290044315494546,0.1652878492573897,0.30646958769030785
Vincristine,ElasticNet,single_omics,expr,3,299.0,75,0.3662661704967166,0.6318065433854907,0.54905251634899,0.18085105180740357,-6.768592435311298
Vincristine,ElasticNet,single_omics,expr,4,299.0,75,0.5970688837208652,0.5660028449502134,0.19139704376562358,0.1586157070597013,0.3309805687074038
Vincristine,ElasticNet,single_omics,expr,5,300.0,74,0.08229552458877211,0.40878193261754897,0.32855107764023994,0.17904070059995394,-1.4580293216338265
Vincristine,ElasticNet,single_omics,mut,1,299.0,75,,,0.25964782675478504,0.22460488844352464,-9.876354853211033e-05
Vincristine,ElasticNet,single_omics,mut,2,299.0,75,,,0.2442657894874269,0.20125790332754454,-0.005135962605058886
Vincristine,ElasticNet,single_omics,mut,3,299.0,75,,,0.20040159665266546,0.1681775689125061,-0.034944163516678284
Vincristine,ElasticNet,single_omics,mut,4,299.0,75,,,0.23417378933081506,0.1981211577852567,-0.0014859200302574926
Vincristine,ElasticNet,single_omics,mut,5,300.0,74,,,0.2118817620583513,0.17745536404687004,-0.022276598379089574
Vincristine,ElasticNet,single_omics,cnv,1,299.0,75,0.22147680287107854,0.2645234708392603,0.25374185047405207,0.2176321316603571,0.04488049964696539
Vincristine,ElasticNet,single_omics,cnv,2,299.0,75,0.4039743017446076,0.46782361308677095,0.23464617670757923,0.1926875966290633,0.0724731644105886
Vincristine,ElasticNet,single_omics,cnv,3,299.0,75,0.07771257534158527,0.2500142247510668,0.21988691064124585,0.1730666168530782,-0.2459864521702233
Vincristine,ElasticNet,single_omics,cnv,4,299.0,75,0.22064580744046428,0.4356472261735419,0.22833793459524637,0.19474415133396786,0.0478082432789142
Vincristine,ElasticNet,single_omics,cnv,5,300.0,74,0.07861300552821769,0.27588300629396517,0.30133876709406815,0.2101050115920402,-1.0677178711305326
Vincristine,ElasticNet,single_omics,meth,1,299.0,75,0.45331261640761455,0.4627027027027027,0.23568167933028433,0.19640865890619655,0.17600390298806
Vincristine,ElasticNet,single_omics,meth,2,299.0,75,0.32390882366191137,0.30738483204783196,0.23087133409023536,0.18881751075387002,0.10207607344064606
Vincristine,ElasticNet,single_omics,meth,3,299.0,75,0.637104399762058,0.607425320056899,0.15513277542423543,0.13140604734420777,0.37981438350113284
Vincristine,ElasticNet,single_omics,meth,4,299.0,75,0.4638475161710593,0.4570697012802276,0.2088743998915027,0.1761190751194954,0.2032194741278791
Vincristine,ElasticNet,single_omics,meth,5,300.0,74,0.4496703016766528,0.32395409107737866,0.19096422446352107,0.15633946818274422,0.16960391274539488
Vincristine,ElasticNet,single_omics,prot,1,299.0,75,,,0.25964782675478504,0.22460488844352464,-9.876354853211033e-05
Vincristine,ElasticNet,single_omics,prot,2,299.0,75,,,0.2442657894874269,0.20125790332754454,-0.005135962605058886
Vincristine,ElasticNet,single_omics,prot,3,299.0,75,,,0.20040159665266546,0.1681775689125061,-0.034944163516678284
Vincristine,ElasticNet,single_omics,prot,4,299.0,75,,,0.23417378933081506,0.1981211577852567,-0.0014859200302574926
Vincristine,ElasticNet,single_omics,prot,5,300.0,74,,,0.2118817620583513,0.17745536404687004,-0.022276598379089574
Vincristine,ElasticNet,early_fusion,multiomics,1,299.0,75,0.2248670638298829,0.4254907539118065,0.26021278808864573,0.20616460411188503,-0.0044556791597363254
Vincristine,ElasticNet,early_fusion,multiomics,2,299.0,75,0.5304764693743318,0.5078805120910383,0.20774821272206923,0.16571908806761107,0.27293353890488725
Vincristine,ElasticNet,early_fusion,multiomics,3,299.0,75,0.39310352558002776,0.6264011379800853,0.4374869200255693,0.1679717469215393,-3.9322457932534247
Vincristine,ElasticNet,early_fusion,multiomics,4,299.0,75,0.5769290938508895,0.5238406827880513,0.19354088121577998,0.15875017235676447,0.31590926454079227
Vincristine,ElasticNet,early_fusion,multiomics,5,300.0,74,0.21307781689217226,0.40241392077008503,0.24217941553003358,0.17331079856769457,-0.3355363739315129
Vincristine,ElasticNet,signal_fusion,signal_multiomics,1,299.0,75,0.22392669413489336,0.42395448079658604,0.26035644664195323,0.20632816243606308,-0.005565067234518883
Vincristine,ElasticNet,signal_fusion,signal_multiomics,2,299.0,75,0.5279505229559102,0.5046088193456614,0.20810597731139607,0.16633533174792925,0.27042721062916253
Vincristine,ElasticNet,signal_fusion,signal_multiomics,3,299.0,75,0.3776029008033027,0.620682788051209,0.49916922797616115,0.17487860798835755,-5.421110956483049
Vincristine,ElasticNet,signal_fusion,signal_multiomics,4,299.0,75,0.5845391225094667,0.5327169274537695,0.19240781219825648,0.15885200013717016,0.32389572268778344
Vincristine,ElasticNet,signal_fusion,signal_multiomics,5,300.0,74,0.17611524599655065,0.4153276564235468,0.2599791689161783,0.16995291049416,-0.539069987814657
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,299.0,75,0.21611667468523965,0.41411095305832146,0.2614208302126323,0.20679877408780156,-0.013803731983812018
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,2,299.0,75,0.5257232759174812,0.5100426742532005,0.20840446770237245,0.16655662670731544,0.26833282923620605
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,3,299.0,75,0.39432791818085977,0.6249502133712659,0.4335582689745959,0.16727455457051596,-3.844059983482312
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,4,299.0,75,0.5769426378703366,0.5238406827880513,0.19353877704501538,0.15874386419852574,0.31592413928861873
