compound,coverage,aac_mean,aac_std,aac_min,aac_max,eligible,selection_score
Vincristine,374,0.4973987,0.23100823,0.0,0.98769265,True,86.39707863330841
SB-743921,353,0.5851678,0.24227202,0.03040705,0.9871519,True,85.5220228433609
Oligomycin A,339,0.38537923,0.24068244,0.0,0.9814034,True,81.59134648740292
BI-2536,359,0.51897156,0.21138369,0.0,0.9901102,True,75.88674308359623
"1S,3R-RSL-3",366,0.45043236,0.20480444,0.01328945,0.9240206,True,74.95842334628105
docetaxel:tanespimycin (2:1 mol/mol),360,0.5862848,0.2001015,0.01890722,0.9834581,True,72.03653812408447
Leptomycin B,373,0.72056466,0.18500102,0.03484581,0.9849214,True,69.00537884235382
KX2-391,355,0.40545627,0.19393623,0.0,0.9213124,True,68.84736120700836
ML210,320,0.3197995,0.21480039,0.0,0.87204796,True,68.73612403869629
CAY10618,367,0.3447931,0.18296158,0.0,0.7573401,True,67.14690101146698
Parbendazole,356,0.34846807,0.1867526,0.0,0.7930775,True,66.48392647504807
Clofarabine,330,0.30703348,0.2014212,0.0,0.87497395,True,66.4689964056015
Gemcitabine,308,0.38533467,0.2146404,0.0,0.96279114,True,66.10924130678177
Dasatinib,359,0.3401682,0.18341818,0.04452224,0.986001,True,65.84712824225426
Cytarabine,349,0.22096796,0.18834554,0.0,0.9273828,True,65.73259226977825
Methotrexate,284,0.42586422,0.22343177,0.0,0.87505037,True,63.45462155342102
ML162,360,0.3645692,0.17599979,0.0,0.8306096,True,63.35992455482483
navitoclax:gemcitabine (1:1 mol/mol),339,0.4304673,0.1852196,0.01311118,0.91695285,True,62.78944467008114
navitoclax:birinapant (1:1 mol/mol),346,0.19819526,0.18104985,0.0,0.87264663,True,62.643249332904816
Barasertib,352,0.15226664,0.17750661,0.0,0.92966044,True,62.48232698440552
Ouabain,372,0.61867654,0.16714798,0.0,0.92807907,True,62.179048240184784
Daporinad,303,0.28257746,0.20454396,0.0,0.8762165,True,61.976820811629295
tanespimycin:gemcitabine (1:1 mol/mol),353,0.35382798,0.1745967,0.0,0.9287385,True,61.632634073495865
Selumetinib,348,0.2392178,0.17503539,0.0,0.7986868,True,60.912314772605896
selumetinib:tretinoin (2:1 mol/mol),322,0.25701243,0.18709177,0.0,0.85360277,True,60.24354922771454
selumetinib:decitabine (4:1 mol/mol),331,0.25742817,0.18141377,0.0,0.8759034,True,60.04795777797699
decitabine:navitoclax (2:1 mol/mol),349,0.18503803,0.17091921,0.0,0.8628254,True,59.650804191827774
