compound,model_family,strategy,omics_layer_model,fold,omics_layer,raw_importance,importance_fraction
Vincristine,ElasticNet,single_omics,expr,1,expr,0.1802085575181991,1.0
Vincristine,ElasticNet,single_omics,expr,2,expr,0.16922749907826073,1.0
Vincristine,ElasticNet,single_omics,expr,3,expr,0.19265205653391604,1.0
Vincristine,ElasticNet,single_omics,expr,4,expr,0.18139961376436986,1.0
Vincristine,ElasticNet,single_omics,expr,5,expr,0.18076270578603726,1.0
Vincristine,ElasticNet,single_omics,mut,1,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,2,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,3,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,4,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,5,mut,0.0,
Vincristine,ElasticNet,single_omics,cnv,1,cnv,0.07614661268416967,1.0
Vincristine,ElasticNet,single_omics,cnv,2,cnv,0.07098153731203638,1.0
Vincristine,ElasticNet,single_omics,cnv,3,cnv,0.06959161546546966,1.0
Vincristine,ElasticNet,single_omics,cnv,4,cnv,0.07141720401705243,1.0
Vincristine,ElasticNet,single_omics,cnv,5,cnv,0.13630515855038539,1.0
Vincristine,ElasticNet,single_omics,meth,1,meth,0.18228389922296628,1.0
Vincristine,ElasticNet,single_omics,meth,2,meth,0.19133944023633376,1.0
Vincristine,ElasticNet,single_omics,meth,3,meth,0.20894906439934857,1.0
Vincristine,ElasticNet,single_omics,meth,4,meth,0.19232512451708317,1.0
Vincristine,ElasticNet,single_omics,meth,5,meth,0.19733623376896503,1.0
Vincristine,ElasticNet,single_omics,prot,1,prot,0.0,
Vincristine,ElasticNet,single_omics,prot,2,prot,0.0,
Vincristine,ElasticNet,single_omics,prot,3,prot,0.0,
Vincristine,ElasticNet,single_omics,prot,4,prot,0.0,
Vincristine,ElasticNet,single_omics,prot,5,prot,0.0,
Vincristine,ElasticNet,early_fusion,multiomics,1,cnv,0.0005779028870165348,0.0029340010594204446
Vincristine,ElasticNet,early_fusion,multiomics,1,expr,0.15953976282617077,0.8099800912368148
Vincristine,ElasticNet,early_fusion,multiomics,1,meth,0.03296788097941317,0.16737725298416412
Vincristine,ElasticNet,early_fusion,multiomics,1,mut,0.0006569189281435683,0.0033351638734267584
