model,strategy,layer,mean_pearson_baseline_389,mean_pearson_no_prot_508,delta_pearson
ElasticNet,early_fusion,multiomics,0.5080100914282362,0.5493410203427965,0.04133092891456036
LightGBM,early_fusion,multiomics,0.5274845641825642,0.563681919409581,0.036197355227016836
RidgeCV,early_fusion,multiomics,0.4584151447207378,0.4895820211125175,0.031166876391779674
RidgeSelectK,early_fusion,multiomics,0.49075020348451986,0.5397360422971685,0.048985838812648674
XGBoost,early_fusion,multiomics,0.5346956953416021,0.5672925635951845,0.032596868253582434
ElasticNet,early_fusion_lineage,multiomics_plus_lineage,0.5079620851110146,0.5476306086251395,0.039668523514124865
LightGBM,early_fusion_lineage,multiomics_plus_lineage,0.5253797386848444,0.5647494430194478,0.039369704334603406
RidgeCV,early_fusion_lineage,multiomics_plus_lineage,0.458280246182632,0.48993243223550004,0.031652186052868014
RidgeSelectK,early_fusion_lineage,multiomics_plus_lineage,0.49111884741844886,0.540424033161674,0.04930518574322512
XGBoost,early_fusion_lineage,multiomics_plus_lineage,0.5320234803795196,0.5655773477786108,0.033553867399091164
ElasticNet,late_fusion,multiomics,0.4933975179088724,0.5338386196972915,0.04044110178841914
LightGBM,late_fusion,multiomics,0.5097801275393783,0.5570329335982692,0.04725280605889093
RidgeCV,late_fusion,multiomics,0.4602045999060391,0.5026948230948874,0.04249022318884832
RidgeSelectK,late_fusion,multiomics,0.4602045999060391,0.5026948230948874,0.04249022318884832
XGBoost,late_fusion,multiomics,0.5153637980789935,0.5585100097510086,0.043146211672015156
RidgeCV+PositiveStack,learned_late_fusion,multiomics,0.5561179666878068,0.5828137254493312,0.026695758761524413
RidgeSelectK+PositiveStack,learned_late_fusion,multiomics,0.5561179666878068,0.5828137254493312,0.026695758761524413
ElasticNet,metadata_augmented,expr_plus_lineage,0.5248452176751821,0.5558007773093708,0.030955559634188723
LightGBM,metadata_augmented,expr_plus_lineage,0.528320599650414,0.5689673207131402,0.040646721062726154
RidgeCV,metadata_augmented,expr_plus_lineage,0.5583751515073304,0.5845855761147091,0.026210424607378657
RidgeSelectK,metadata_augmented,expr_plus_lineage,0.5578467545820635,0.5845009929670586,0.026654238384995144
XGBoost,metadata_augmented,expr_plus_lineage,0.5330782012636537,0.5654343830971013,0.03235618183344757
ElasticNet,signal_fusion,signal_multiomics,0.5219447228080337,0.5548258517162633,0.032881128908229584
LightGBM,signal_fusion,signal_multiomics,0.5216867706091101,0.5615613885639703,0.03987461795486025
RidgeCV,signal_fusion,signal_multiomics,0.5228013752864938,0.562916051221666,0.04011467593517215
RidgeSelectK,signal_fusion,signal_multiomics,0.5171092832394361,0.5621255306720908,0.045016247432654755
XGBoost,signal_fusion,signal_multiomics,0.5271958381902344,0.5604624427323558,0.03326660454212138
ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5218405599328474,0.5547052350128189,0.032864675079971484
LightGBM,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5194959915604943,0.5585866353997039,0.03909064383920957
RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5219943354121174,0.5628004215598077,0.040806086147690324
RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5171809225907327,0.5619155223018003,0.044734599711067635
XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5277355134723827,0.5632094786825071,0.03547396521012447
ElasticNet,single_omics,cnv,0.15272961041274172,0.19325199863131326,0.04052238821857154
LightGBM,single_omics,cnv,0.3478466618731992,0.38697702877598533,0.03913036690278615
RidgeCV,single_omics,cnv,0.14676978987031744,0.17936819342941449,0.032598403559097044
RidgeSelectK,single_omics,cnv,0.14676978987031744,0.17936819342941449,0.032598403559097044
XGBoost,single_omics,cnv,0.33851635873582403,0.37969145332038967,0.04117509458456564
ElasticNet,single_omics,expr,0.5251295011002769,0.5560088160949009,0.03087931499462404
LightGBM,single_omics,expr,0.5297135057765686,0.5675643600356625,0.03785085425909385
RidgeCV,single_omics,expr,0.5599877057887185,0.5856378402213722,0.025650134432653737
RidgeSelectK,single_omics,expr,0.5599877057887185,0.5856378402213722,0.025650134432653737
XGBoost,single_omics,expr,0.5342212505670382,0.5655434177770652,0.03132216721002701
ElasticNet,single_omics,meth,0.37441369978465394,0.41599200502670786,0.041578305242053915
LightGBM,single_omics,meth,0.4250507479189672,0.47130715608156576,0.04625640816259857
RidgeCV,single_omics,meth,0.45238873708789606,0.4702165302970624,0.01782779320916633
RidgeSelectK,single_omics,meth,0.45238873708789606,0.4702165302970624,0.01782779320916633
XGBoost,single_omics,meth,0.4359435950105796,0.4773788483398597,0.04143525332928011
ElasticNet,single_omics,mut,0.11060804732911642,0.07389186991086434,-0.036716177418252074
LightGBM,single_omics,mut,0.07374167606290523,0.11589057760953607,0.04214890154663084
RidgeCV,single_omics,mut,0.10249068599360976,0.12791079571888356,0.025420109725273796
RidgeSelectK,single_omics,mut,0.10249068599360976,0.12791079571888356,0.025420109725273796
XGBoost,single_omics,mut,0.08570142176524477,0.1210233877924553,0.035321966027210536
