compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
Vincristine,ElasticNet,single_omics,expr,1,394.0,99,0.6952478723797875,0.6752380952380952,0.16482360764489784,0.1259131178523254,0.4283709387613981
Vincristine,ElasticNet,single_omics,expr,2,394.0,99,0.5162323610464333,0.4471985157699443,0.21171930916726492,0.1686465816779269,0.26583803090190294
Vincristine,ElasticNet,single_omics,expr,3,394.0,99,0.6723837097729621,0.656019344528011,0.17946660620293264,0.14654965715652163,0.4041489370420476
Vincristine,ElasticNet,single_omics,expr,4,395.0,98,0.5907662187699394,0.45198247996480684,0.1712077728633177,0.14454178495703227,0.3484774378934231
Vincristine,ElasticNet,single_omics,expr,5,395.0,98,0.6906286024993773,0.6328698302188729,0.1843819764792039,0.16014094434070344,0.4313724131988693
Vincristine,ElasticNet,single_omics,mut,1,394.0,99,0.013964208050069576,-0.015787676488178245,0.2239734324112492,0.1869436192203953,-0.05552489261536708
Vincristine,ElasticNet,single_omics,mut,2,394.0,99,,,0.24719869213649115,0.2079769286957353,-0.0008368432526681957
Vincristine,ElasticNet,single_omics,mut,3,394.0,99,,,0.2346135090893276,0.19875334822243512,-0.018301652609669095
Vincristine,ElasticNet,single_omics,mut,4,395.0,98,,,0.21314362114549115,0.17403509040904822,-0.009780974591327984
Vincristine,ElasticNet,single_omics,mut,5,395.0,98,,,0.24607427270355398,0.21351854164837575,-0.01279934951651751
Vincristine,ElasticNet,single_omics,cnv,1,394.0,99,0.2847212180929184,0.28848484848484846,0.2151281115163525,0.17695085356256576,0.026199937358568404
Vincristine,ElasticNet,single_omics,cnv,2,394.0,99,0.3212975594906483,0.41163883735312307,0.2344360240498949,0.1938515418218543,0.09984014268959229
Vincristine,ElasticNet,single_omics,cnv,3,394.0,99,0.1706209330632309,0.42141750593122285,0.24204161469837251,0.2003924467535031,-0.08380338005533083
Vincristine,ElasticNet,single_omics,cnv,4,395.0,98,0.34038956853118985,0.3334608445064998,0.203094117599858,0.16710090225476923,0.0831945345942785
Vincristine,ElasticNet,single_omics,cnv,5,395.0,98,0.3769710503417405,0.37278529031106344,0.2363666045734895,0.20609739175712577,0.06553459803208406
Vincristine,ElasticNet,single_omics,meth,1,394.0,99,0.4968998431121535,0.4369449598021026,0.1955760394865898,0.15357765342776825,0.19516516949355633
Vincristine,ElasticNet,single_omics,meth,2,394.0,99,0.5496230500329137,0.49502317570791915,0.21320729496717292,0.17799112153700505,0.25548223085551003
Vincristine,ElasticNet,single_omics,meth,3,394.0,99,0.6110643555805367,0.6388145912664778,0.1955458286871947,0.16154064887175054,0.2925959686767027
Vincristine,ElasticNet,single_omics,meth,4,395.0,98,0.5562416955860667,0.4697702886215404,0.17843916747896035,0.1471368136639916,0.292277698986962
Vincristine,ElasticNet,single_omics,meth,5,395.0,98,0.5089934621012581,0.45506332544055345,0.213103034397338,0.18553847131528417,0.24042570216994463
