compound,coverage,aac_mean,aac_std,aac_min,aac_max,eligible,selection_score
Vincristine,493,0.49304688,0.23269416,0.0,0.98769265,True,114.71822281181812
SB-743921,463,0.5788533,0.24209298,0.03040705,0.9871519,True,112.08905063569546
Oligomycin A,446,0.38248467,0.24355906,0.0,0.9814034,True,108.62734186649323
BI-2536,473,0.51084125,0.21170339,0.0,0.9901102,True,100.13570341467857
"1S,3R-RSL-3",478,0.45512685,0.2045563,0.01328945,0.9240206,True,97.77791199088097
docetaxel:tanespimycin (2:1 mol/mol),475,0.5814664,0.20264721,0.00200143,0.9834581,True,96.25742435455322
Cytarabine,460,0.2194256,0.19822124,0.0,0.97395825,True,91.18176877498627
Leptomycin B,486,0.7170195,0.18609862,0.0,0.9849214,True,90.44392946362495
KX2-391,462,0.39515758,0.19231981,0.0,0.9213124,True,88.85175240039825
CAY10618,480,0.34280884,0.18479963,0.0,0.7573401,True,88.70382070541382
Clofarabine,430,0.3024094,0.20599408,0.0,0.903191,True,88.57745632529259
ML210,415,0.3250415,0.21294174,0.0,0.87204796,True,88.37082043290138
Gemcitabine,400,0.38368508,0.2195465,0.0,0.96279114,True,87.81859874725342
Parbendazole,465,0.34274155,0.18596388,0.0,0.7930775,True,86.47320605814457
navitoclax:gemcitabine (1:1 mol/mol),445,0.4275691,0.18955971,0.0,0.91695285,True,84.35407228767872
navitoclax:birinapant (1:1 mol/mol),458,0.20333539,0.18285404,0.0,0.87264663,True,83.7471509873867
Paclitaxel,332,0.5280598,0.25185338,0.0,0.9866161,True,83.6153210401535
Dasatinib,469,0.3422473,0.17715147,0.04424825,0.986001,True,83.08404007554054
ML162,472,0.36723623,0.17465192,0.0,0.8306096,True,82.435706615448
Daporinad,397,0.28261083,0.20749277,0.0,0.9229995,True,82.37462919950485
Ouabain,483,0.60877126,0.1696947,0.0,0.92807907,True,81.9625433832407
Methotrexate,369,0.42663854,0.22086026,0.0,0.87505037,True,81.49743510782719
tanespimycin:gemcitabine (1:1 mol/mol),461,0.3517496,0.17603315,0.0,0.9287385,True,81.1512840539217
Barasertib,460,0.14709984,0.17641358,0.0,0.92966044,True,81.15024715662003
decitabine:navitoclax (2:1 mol/mol),457,0.18896791,0.17333037,0.0,0.8628254,True,79.21197754144669
selumetinib:decitabine (4:1 mol/mol),434,0.25172824,0.17983814,0.0,0.8759034,True,78.04975095391273
Rigosertib,432,0.3766185,0.18057889,0.0,0.78877527,True,78.0100793838501
Selumetinib,457,0.23211856,0.17042711,0.0,0.7986868,True,77.88519099354744
Snx-2112,474,0.3686199,0.16163023,0.0,0.739205,True,76.6127281486988
Triazolothiadiazine,457,0.3393877,0.1673945,0.0,0.72798187,True,76.49928830564022
CR-1-31B,453,0.5824339,0.1682059,0.0,0.9900124,True,76.19727359712124
Austocystin D,379,0.25956684,0.2004446,0.0,0.9293479,True,75.9685011357069
selumetinib:tretinoin (2:1 mol/mol),419,0.2499173,0.17997962,0.0,0.85360277,True,75.41146177053452
sirolimus:bortezomib (250:1 mol/mol),476,0.33683598,0.15789707,0.0,0.87622684,True,75.15900534391403
selumetinib:navitoclax (8:1 mol/mol),424,0.31389144,0.17513566,0.0,0.83196765,True,74.25751864910126
PD318088,456,0.21635231,0.16238467,0.0,0.80718505,True,74.04741132259369
selumetinib:BRD-A02303741 (4:1 mol/mol),471,0.22333989,0.15709849,0.0,0.75163174,True,73.99338738620281
Topotecan,465,0.41153964,0.15796144,0.05445674,0.84238416,True,73.4520710259676
Sirolimus,455,0.2564216,0.1612725,0.0,0.88645375,True,73.37898567318916
SR-II-138A,474,0.4859828,0.15480016,0.01901621,0.9117891,True,73.37527665495872
selumetinib:JQ-1 (4:1 mol/mol),443,0.37967554,0.16357002,0.0,0.86944044,True,72.4615173637867
Rita,457,0.14732662,0.15824895,0.0,0.7447589,True,72.31976835429668
Decitabine,452,0.11424892,0.15986739,0.0,0.85298914,True,72.26006072759628
BRD-K97651142,436,0.25030515,0.16566367,0.0,0.8181248,True,72.22936207056046
Alisertib,441,0.21010223,0.16271307,0.0,0.8373213,True,71.75646199285984
Panobinostat,480,0.6411148,0.14843917,0.0,0.96766263,True,71.25080108642578
selumetinib:UNC0638 (4:1 mol/mol),470,0.23690118,0.15079556,0.0,0.76932526,True,70.87391510605812
AZD8055,486,0.42944992,0.14549556,0.0,0.91842234,True,70.71084398031235
alisertib:navitoclax (2:1 mol/mol),412,0.3146898,0.1713904,0.0,0.8433687,True,70.61284452676773
navitoclax:PLX-4032 (1:1 mol/mol),453,0.14776963,0.15400957,0.0,0.85448915,True,69.7663332670927
Doxorubicin,478,0.47347942,0.1452472,0.10302064,0.9297083,True,69.42816451191902
Birinapant,455,0.08606264,0.14906658,0.0,0.9538296,True,67.8252949565649
Navitoclax,441,0.12934922,0.15339985,0.0,0.8237341,True,67.64933601021767
SN-38,408,0.2766267,0.16458194,0.0,0.7811107,True,67.14943134784698
selumetinib:PLX-4032 (8:1 mol/mol),427,0.21857615,0.1570695,0.0,0.76326925,True,67.0686783194542
STF-31,401,0.27324745,0.166475,0.0,0.7522721,True,66.75647419691086
JQ-1:navitoclax (2:1 mol/mol),465,0.27377418,0.1434147,0.0,0.8395811,True,66.68783828616142
GMX-1778,468,0.1700384,0.14238016,0.0,0.78368753,True,66.6339163184166
selumetinib:piperlongumine (8:1 mol/mol),432,0.22286648,0.15393351,0.0,0.80471027,True,66.49927639961243
Canertinib,454,0.19481723,0.1453742,0.0,0.8753785,True,65.99988397955894
selumetinib:GDC-0941 (4:1 mol/mol),464,0.3738466,0.14103788,0.0,0.8450872,True,65.44157695770264
navitoclax:sorafenib (1:1 mol/mol),471,0.18375129,0.13872184,0.0,0.9923106,True,65.33798597753048
JQ1 compound,470,0.25629818,0.13812049,0.0,0.6850806,True,64.9166290462017
Brefeldin A,448,0.42278105,0.1443042,0.0,0.8122567,True,64.64828205108643
tretinoin:navitoclax (4:1 mol/mol),400,0.16616425,0.16136472,0.0,0.9113945,True,64.54588770866394
Cucurbitacin I,457,0.3945876,0.14099361,0.04714287,0.786612,True,64.43407978117466
decitabine:carboplatin (1:1 mol/mol),468,0.100906305,0.13723916,0.0,0.7259063,True,64.22792601585388
Sepantronium bromide,439,0.32584995,0.14561519,0.00225887,0.86722517,True,63.9250685274601
Neratinib,470,0.2318066,0.13573551,0.0,0.9184948,True,63.79569053649902
Gsk-461364,296,0.5283765,0.21463789,0.04718946,0.9788215,True,63.53281557559967
BRD-A02303741:navitoclax (2:1 mol/mol),447,0.12582992,0.13896686,0.0,0.7599514,True,62.11818569898605
SNS-032,425,0.36321303,0.14552955,0.0,0.78515244,True,61.850060150027275
Mitomycin,423,0.28914252,0.14618705,0.0032718,0.77843297,True,61.837123051285744
Pha-793887,477,0.23174031,0.12937382,0.0,0.89731747,True,61.71131148934364
Erastin,462,0.17153548,0.13324495,0.0,0.6080633,True,61.559165328741074
