compound,model_family,strategy,omics_layer_model,fold,omics_layer,raw_importance,importance_fraction
Vincristine,ElasticNet,single_omics,expr,1,expr,0.17957257915259106,1.0
Vincristine,ElasticNet,single_omics,expr,2,expr,0.1760634434176609,1.0
Vincristine,ElasticNet,single_omics,expr,3,expr,0.18213564564939588,1.0
Vincristine,ElasticNet,single_omics,expr,4,expr,0.19425640435656533,1.0
Vincristine,ElasticNet,single_omics,expr,5,expr,0.1765458164154552,1.0
Vincristine,ElasticNet,single_omics,mut,1,mut,0.04923190292902291,1.0
Vincristine,ElasticNet,single_omics,mut,2,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,3,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,4,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,5,mut,0.0,
Vincristine,ElasticNet,single_omics,cnv,1,cnv,0.08695370884379372,1.0
Vincristine,ElasticNet,single_omics,cnv,2,cnv,0.08826859574764967,1.0
Vincristine,ElasticNet,single_omics,cnv,3,cnv,0.10142314697441179,1.0
Vincristine,ElasticNet,single_omics,cnv,4,cnv,0.08432107977569103,1.0
Vincristine,ElasticNet,single_omics,cnv,5,cnv,0.07379902666434646,1.0
Vincristine,ElasticNet,single_omics,meth,1,meth,0.20645256363786757,1.0
Vincristine,ElasticNet,single_omics,meth,2,meth,0.1992899680044502,1.0
Vincristine,ElasticNet,single_omics,meth,3,meth,0.194747018867929,1.0
Vincristine,ElasticNet,single_omics,meth,4,meth,0.21760039757646155,1.0
Vincristine,ElasticNet,single_omics,meth,5,meth,0.18534751806873828,1.0
Vincristine,ElasticNet,early_fusion,multiomics,1,cnv,0.004039404448121786,0.0212059960146826
Vincristine,ElasticNet,early_fusion,multiomics,1,expr,0.16320815699873492,0.8568073762675912
Vincristine,ElasticNet,early_fusion,multiomics,1,meth,0.023236509441630915,0.12198662771772624
Vincristine,ElasticNet,early_fusion,multiomics,1,mut,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,2,cnv,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,2,expr,0.17177542969875503,0.9553518267087296
Vincristine,ElasticNet,early_fusion,multiomics,2,meth,0.008027889765799046,0.044648173291270306
Vincristine,ElasticNet,early_fusion,multiomics,2,mut,0.0,0.0
