model_family,strategy,omics_layer,pearson_5-omics (389),r2_5-omics (389),rmse_5-omics (389),n_folds_5-omics (389),pearson_no-prot (508),r2_no-prot (508),rmse_no-prot (508),n_folds_no-prot (508),pearson_no-prot-no-meth (574),r2_no-prot-no-meth (574),rmse_no-prot-no-meth (574),n_folds_no-prot-no-meth (574),delta_pearson_no-prot_vs_5-omics,delta_pearson_no-meth_vs_no-prot,delta_pearson_no-meth_vs_5-omics,delta_r2_no-meth_vs_5-omics
RidgeSelectK,signal_fusion,signal_multiomics,0.5171092832394361,0.2494094470306812,0.17743767446407302,60,0.5621255306720907,0.3105724602414941,0.17170114889964355,60.0,0.6042387570461382,0.3621352539623003,0.16712119197211897,60.0,0.045016247432654644,0.04211322637404746,0.0871294738067021,0.1127258069316191
RidgeCV,single_omics,expr,0.5599877057887185,0.30030564132409227,0.17142590673506153,60,0.5856378402213721,0.33842509436497537,0.16802037173406237,60.0,0.6042387570461382,0.3621352539623003,0.16712119197211897,60.0,0.025650134432653626,0.018600916824766056,0.04425105125741968,0.06182961263820802
RidgeSelectK,single_omics,expr,0.5599877057887185,0.30030564132409227,0.17142590673506153,60,0.5856378402213721,0.33842509436497537,0.16802037173406237,60.0,0.6042387570461382,0.3621352539623003,0.16712119197211897,60.0,0.025650134432653626,0.018600916824766056,0.04425105125741968,0.06182961263820802
RidgeCV,signal_fusion,signal_multiomics,0.5228013752864938,0.25561334146219516,0.17682251200426585,60,0.562916051221666,0.3109111725108457,0.17145840065222398,60.0,0.6042387570461382,0.3621352539623003,0.16712119197211897,60.0,0.04011467593517215,0.04132270582447217,0.08143738175964432,0.10652191250010512
RidgeCV,metadata_augmented,expr_plus_lineage,0.5583751515073305,0.2981166956612475,0.17167544010054375,60,0.584585576114709,0.33668836296830656,0.16824668284482275,60.0,0.6031438099672938,0.36052978349567566,0.16733232097704315,60.0,0.026210424607378435,0.018558233852584816,0.04476865845996325,0.06241308783442817
RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5219943354121174,0.25451461806092057,0.17694508299299566,60,0.5628004215598078,0.3104470502227264,0.171525026550889,60.0,0.6031438099672938,0.36052978349567566,0.16733232097704315,60.0,0.040806086147690435,0.04034338840748597,0.0811494745551764,0.10601516543475509
RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5171809225907327,0.24951386496410696,0.17743934772692202,60,0.5619155223018003,0.31028760179833575,0.1716977426681795,60.0,0.6031089497599175,0.36066375639956083,0.16731807686066336,60.0,0.044734599711067635,0.04119342745811716,0.0859280271691848,0.11114989143545387
RidgeSelectK,metadata_augmented,expr_plus_lineage,0.5578467545820635,0.2975462659373495,0.1717324491634191,60,0.5845009929670585,0.336589125742338,0.1682660630528938,60.0,0.6031089497599175,0.36066375639956083,0.16731807686066336,60.0,0.026654238384995033,0.018607956792858982,0.045262195177854014,0.06311749046221132
RidgeSelectK+PositiveStack,learned_late_fusion,multiomics,0.5561179666878069,0.29697566142182447,0.17181470507703914,60,0.5828137254493312,0.33384548246179363,0.1686549737976873,120.0,0.6029571830831008,0.36039555894278796,0.16734334648868912,60.0,0.026695758761524302,0.020143457633769568,0.04683921639529387,0.0634198975209635
RidgeCV+PositiveStack,learned_late_fusion,multiomics,0.5561179666878069,0.29697566142182447,0.17181470507703914,60,0.5828137254493312,0.33384548246179363,0.1686549737976873,120.0,0.6029571830831008,0.36039555894278796,0.16734334648868912,60.0,0.026695758761524302,0.020143457633769568,0.04683921639529387,0.0634198975209635
LightGBM,early_fusion,multiomics,0.5274845641825642,0.26720848354005683,0.1754565837559977,60,0.563681919409581,0.31658587434036445,0.17071812800191036,60.0,0.5974780943552861,0.3597805469742796,0.1672868058209919,60.0,0.036197355227016836,0.03379617494570508,0.06999353017272192,0.09257206343422275
LightGBM,signal_fusion,signal_multiomics,0.5216867706091101,0.26087999476554136,0.17634407170140365,60,0.5615613885639702,0.31356533965398253,0.1711915526424881,60.0,0.5971103439440105,0.3570956403448204,0.16775733208606755,60.0,0.039874617954860136,0.035548955380040326,0.07542357333490046,0.09621564557927903
LightGBM,single_omics,expr,0.5297135057765686,0.26943741511902464,0.17530841344076137,60,0.5675643600356625,0.32092728012563804,0.17024602979178877,60.0,0.5971103439440105,0.3570956403448204,0.16775733208606755,60.0,0.03785085425909385,0.02954598390834806,0.06739683816744191,0.08765822522579575
LightGBM,early_fusion_lineage,multiomics_plus_lineage,0.5253797386848444,0.2649994999001139,0.17570961234353025,60,0.5647494430194478,0.3177820119536908,0.17059752996842636,60.0,0.5964629691935098,0.3578526747270439,0.16755358318013028,60.0,0.039369704334603406,0.03171352617406198,0.07108323050866538,0.09285317482693001
XGBoost,early_fusion,multiomics,0.5346956953416021,0.26930165225253966,0.1753378075546886,60,0.5672925635951845,0.31317787471745345,0.17144164535744874,60.0,0.5962010129593284,0.35239929105339207,0.16850886034810225,60.0,0.032596868253582434,0.02890844936414383,0.06150531761772626,0.08309763880085241
XGBoost,early_fusion_lineage,multiomics_plus_lineage,0.5320234803795196,0.26699472890142967,0.17561042888167658,60,0.5655773477786108,0.3113748042985541,0.17161813508017332,60.0,0.5955262900834716,0.3517487061841164,0.1685599056585462,60.0,0.033553867399091164,0.02994894230486078,0.06350280970395195,0.08475397728268674
