compound,model_family,strategy,omics_layer,fold,n_train,n_test,pearson,spearman,rmse,mae,r2
Vincristine,ElasticNet,single_omics,expr,1,444.0,112,0.6762795307259859,0.6152834250179384,0.1681290823938701,0.14147001165630563,0.4358726994614126
Vincristine,ElasticNet,single_omics,expr,2,445.0,111,0.6090746476699656,0.5509126009126009,0.20018131108142,0.15506055331914811,0.36260975069797596
Vincristine,ElasticNet,single_omics,expr,3,445.0,111,0.6161261843498536,0.5929185679185679,0.18490242251392516,0.1500207909387075,0.3683570855062156
Vincristine,ElasticNet,single_omics,expr,4,445.0,111,0.6416526456449809,0.6034279646995141,0.17728866083426648,0.1407324855996145,0.40127733518181574
Vincristine,ElasticNet,single_omics,expr,5,445.0,111,0.6488713444505598,0.6059670059670059,0.18245099520197453,0.15426135870317617,0.3925970198441977
Vincristine,ElasticNet,single_omics,mut,1,444.0,112,,,0.22396704778971774,0.1872364791509296,-0.0010590195757320675
Vincristine,ElasticNet,single_omics,mut,2,445.0,111,,,0.2508506737888307,0.2132774827548781,-0.0008958776659055978
Vincristine,ElasticNet,single_omics,mut,3,445.0,111,,,0.23265296377052452,0.1982397476089531,-8.301472535388044e-06
Vincristine,ElasticNet,single_omics,mut,4,445.0,111,,,0.23003067663814222,0.1884800532983767,-0.007941422828478428
Vincristine,ElasticNet,single_omics,mut,5,445.0,111,,,0.23684420021077943,0.20057382590666012,-0.02355210017769016
Vincristine,ElasticNet,single_omics,cnv,1,444.0,112,0.34497796977616113,0.46054429903987426,0.21045900926729139,0.17629043125946606,0.11605249272399387
Vincristine,ElasticNet,single_omics,cnv,2,445.0,111,0.32239547267888286,0.31368023868023864,0.2419468833230556,0.20461021294934792,0.06889551010880013
Vincristine,ElasticNet,single_omics,cnv,3,445.0,111,0.32665416773647277,0.37044577044577043,0.22223116061667272,0.1865068605685657,0.08757676674079073
Vincristine,ElasticNet,single_omics,cnv,4,445.0,111,0.21572256663349793,0.3877904260066061,0.22780644092209446,0.18199539926272254,0.01145651614188059
Vincristine,ElasticNet,single_omics,cnv,5,445.0,111,0.17294379163320844,0.36499648999649,0.2532807656386995,0.20635444813550594,-0.17054702587651316
Vincristine,ElasticNet,early_fusion,multiomics,1,444.0,112,0.6749382817674339,0.6137287730208085,0.16834122610929483,0.14181707965742266,0.4344481801233485
Vincristine,ElasticNet,early_fusion,multiomics,2,445.0,111,0.6090814859145954,0.5509828009828008,0.20018041110259105,0.15505902507753522,0.3626154818667606
Vincristine,ElasticNet,early_fusion,multiomics,3,445.0,111,0.6161378533535347,0.5914443664443665,0.18490053257137606,0.15002602621334027,0.36836999785969127
Vincristine,ElasticNet,early_fusion,multiomics,4,445.0,111,0.6320719453271942,0.6065079995363828,0.17882537763072925,0.14178364089614637,0.3908530397200677
Vincristine,ElasticNet,early_fusion,multiomics,5,445.0,111,0.6489042830337631,0.6055458055458054,0.1824456806906064,0.15425750937077914,0.39263240472138616
Vincristine,ElasticNet,signal_fusion,signal_multiomics,1,444.0,112,0.6762795307259859,0.6152834250179384,0.1681290823938701,0.14147001165630563,0.4358726994614126
Vincristine,ElasticNet,signal_fusion,signal_multiomics,2,445.0,111,0.6090746476699656,0.5509126009126009,0.20018131108142,0.15506055331914811,0.36260975069797596
Vincristine,ElasticNet,signal_fusion,signal_multiomics,3,445.0,111,0.6161261843498536,0.5929185679185679,0.18490242251392516,0.1500207909387075,0.3683570855062156
Vincristine,ElasticNet,signal_fusion,signal_multiomics,4,445.0,111,0.6416526456449809,0.6034279646995141,0.17728866083426648,0.1407324855996145,0.40127733518181574
Vincristine,ElasticNet,signal_fusion,signal_multiomics,5,445.0,111,0.6488713444505598,0.6059670059670059,0.18245099520197453,0.15426135870317617,0.3925970198441977
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,1,444.0,112,0.674939629216557,0.6137287730208085,0.16834131100429878,0.14181704320279614,0.4344476097041209
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,2,445.0,111,0.6090820635241215,0.5509126009126009,0.2001803176432209,0.15506007728745808,0.36261607702531173
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,3,445.0,111,0.6161359550655358,0.5914443664443665,0.18490072477172803,0.15002446816940498,0.3683686847258659
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,4,445.0,111,0.6320708896577587,0.6065079995363828,0.1788252402312329,0.14178289154225643,0.39085397578914816
Vincristine,ElasticNet,early_fusion_lineage,multiomics_plus_lineage,5,445.0,111,0.6488793285864154,0.6058090558090559,0.1824500100982922,0.15426068721120959,0.3926035789018385
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,1,444.0,112,0.6762681224944573,0.6152834250179384,0.16813056952507066,0.14147203209410822,0.43586271980758917
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,2,445.0,111,0.6090838582510116,0.5509828009828008,0.2001799999892428,0.1550588878794565,0.3626180998753148
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,3,445.0,111,0.6161085920174545,0.5923657423657422,0.18490543799332673,0.15002605386774753,0.3683364830532747
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,4,445.0,111,0.6416455391060892,0.6034279646995141,0.1772896271258332,0.14073318823635042,0.40127080862523
Vincristine,ElasticNet,signal_fusion_lineage,signal_multiomics_plus_lineage,5,445.0,111,0.6489127664492048,0.6059670059670059,0.18244433413578706,0.1542563946028282,0.39264137013773703
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,1,444.0,112,0.6762681224944573,0.6152834250179384,0.16813056952507066,0.14147203209410822,0.43586271980758917
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,2,445.0,111,0.6090838582510116,0.5509828009828008,0.2001799999892428,0.1550588878794565,0.3626180998753148
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,3,445.0,111,0.6161085920174545,0.5923657423657422,0.18490543799332673,0.15002605386774753,0.3683364830532747
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,4,445.0,111,0.6416455391060892,0.6034279646995141,0.1772896271258332,0.14073318823635042,0.40127080862523
Vincristine,ElasticNet,metadata_augmented,expr_plus_lineage,5,445.0,111,0.6489127664492048,0.6059670059670059,0.18244433413578706,0.1542563946028282,0.39264137013773703
Vincristine,ElasticNet,late_fusion,multiomics,1,,112,0.6476665618543092,0.6198448764820446,0.19186842080344485,0.16056993149132248,0.2653196329607057
Vincristine,ElasticNet,late_fusion,multiomics,2,,111,0.616588478703774,0.5695682695682696,0.2239043255464992,0.1876413596475178,0.20258697693293293
Vincristine,ElasticNet,late_fusion,multiomics,3,,111,0.625310548198202,0.6022551772551772,0.20638598888658752,0.1733832236319255,0.2130505291098661
