compound,coverage,aac_mean,aac_std,aac_min,aac_max,eligible,selection_score
Vincristine,556,0.49692178,0.2349563,0.0,0.98769265,True,130.63569962978363
SB-743921,522,0.58401644,0.24209277,0.03040705,0.9871519,True,126.37242767214775
Oligomycin A,508,0.38355422,0.2440202,0.0,0.9814034,True,123.96225845813751
BI-2536,537,0.5167704,0.214197,0.0,0.9901102,True,115.02378626167774
docetaxel:tanespimycin (2:1 mol/mol),539,0.58281595,0.20771891,0.0,0.9834581,True,111.96049183607101
"1S,3R-RSL-3",544,0.45745367,0.20070142,0.01328945,0.9240206,True,109.18157005310059
KX2-391,522,0.40134424,0.19775002,0.0,0.9213124,True,103.22550889849663
Cytarabine,520,0.21970098,0.19793904,0.0,0.97395825,True,102.92829990386963
Leptomycin B,549,0.7168314,0.18660066,0.0,0.9849214,True,102.44375976920128
CAY10618,544,0.33961543,0.18722673,0.0,0.7573401,True,101.85133981704712
Gemcitabine,456,0.379708,0.22294424,0.0,0.96279114,True,101.66257560253143
Clofarabine,487,0.30439222,0.20624968,0.0,0.903191,True,100.44359615445137
ML210,477,0.32584354,0.21050332,0.0,0.87204796,True,100.41008596122265
Parbendazole,528,0.34532386,0.18683256,0.0,0.7930775,True,98.64759278297424
navitoclax:gemcitabine (1:1 mol/mol),503,0.42908832,0.19200435,0.0,0.91695285,True,96.57818946242332
Paclitaxel,377,0.53241336,0.25204378,0.0,0.9866161,True,95.02050644159317
Methotrexate,427,0.42967066,0.22099438,0.0,0.87505037,True,94.36460158228874
tanespimycin:gemcitabine (1:1 mol/mol),521,0.35636666,0.18076879,0.0,0.9287385,True,94.18053847551346
Daporinad,452,0.2816167,0.20785354,0.0,0.9229995,True,93.94980043172836
Ouabain,548,0.61177874,0.1712979,0.0,0.92807907,True,93.87124532461166
Dasatinib,534,0.34129557,0.17538567,0.02374797,0.986001,True,93.65594717860222
Barasertib,522,0.14960116,0.17841722,0.0,0.92966044,True,93.13378921151161
ML162,538,0.3714847,0.17241228,0.0,0.8306096,True,92.75780463218689
navitoclax:birinapant (1:1 mol/mol),518,0.20024736,0.17853676,0.0,0.87264663,True,92.48204055428505
Snx-2112,540,0.36928254,0.16532633,0.0,0.739205,True,89.2762166261673
decitabine:navitoclax (2:1 mol/mol),517,0.18834455,0.1722475,0.0,0.8628254,True,89.0519571006298
CR-1-31B,517,0.5839202,0.17156789,0.0,0.9900124,True,88.70059761404991
Rigosertib,484,0.38002077,0.18207398,0.0,0.78877527,True,88.12380659580231
selumetinib:decitabine (4:1 mol/mol),489,0.2465933,0.17931074,0.0,0.8759034,True,87.68295139074326
Triazolothiadiazine,520,0.34229782,0.1677799,0.0,0.72798187,True,87.24554419517517
Selumetinib,520,0.22417338,0.16738771,0.0,0.7986868,True,87.04160869121552
Austocystin D,435,0.25703225,0.19949129,0.0,0.9293479,True,86.77871212363243
sirolimus:bortezomib (250:1 mol/mol),542,0.33767885,0.16007815,0.0,0.87622684,True,86.76235893368721
Topotecan,528,0.41044444,0.16182002,0.05134506,0.84238416,True,85.4409728050232
SR-II-138A,537,0.48597744,0.15896118,0.0101631,0.9117891,True,85.36215198040009
selumetinib:tretinoin (2:1 mol/mol),476,0.2419968,0.1786587,0.0,0.85360277,True,85.04153835773468
Alisertib,507,0.21361795,0.16545607,0.0,0.8373213,True,83.88622824847698
Sirolimus,515,0.25431982,0.16244696,0.0,0.88645375,True,83.66018481552601
selumetinib:BRD-A02303741 (4:1 mol/mol),535,0.21528052,0.15597223,0.0,0.75163174,True,83.44514168798923
PD318088,518,0.20634949,0.16015616,0.0,0.80718505,True,82.96089118719101
selumetinib:navitoclax (8:1 mol/mol),477,0.30622962,0.17334586,0.0,0.83196765,True,82.68597704172134
Rita,514,0.1472755,0.16051307,0.0,0.7447589,True,82.50371962785721
BRD-K97651142,495,0.24970259,0.16656478,0.0,0.8181248,True,82.44956485927105
Decitabine,516,0.111888714,0.15907294,0.0,0.85298914,True,82.08163475990295
selumetinib:JQ-1 (4:1 mol/mol),500,0.374959,0.16346516,0.0,0.86944044,True,81.73257857561111
Panobinostat,541,0.6419759,0.15104085,0.0,0.96809036,True,81.71310096979141
AZD8055,551,0.42928207,0.14805667,0.0,0.91842234,True,81.57922573387623
Doxorubicin,543,0.4735317,0.14933048,0.10302064,0.9297083,True,81.086451664567
alisertib:navitoclax (2:1 mol/mol),470,0.31760123,0.16963896,0.0,0.8433687,True,79.7303119301796
selumetinib:UNC0638 (4:1 mol/mol),533,0.22778912,0.14909157,0.0,0.76932526,True,79.46580764651299
navitoclax:PLX-4032 (1:1 mol/mol),511,0.14651842,0.15251714,0.0,0.85448915,True,77.93625849485397
SN-38,464,0.27651206,0.16790932,0.0,0.7811107,True,77.90992641448975
navitoclax:sorafenib (1:1 mol/mol),535,0.18694344,0.14259881,0.0,0.9923106,True,76.29036217927933
STF-31,460,0.2668414,0.16550991,0.0,0.7522721,True,76.13455832004547
selumetinib:PLX-4032 (8:1 mol/mol),488,0.20971733,0.1552302,0.0,0.76326925,True,75.75233483314514
Canertinib,517,0.19756013,0.14636263,0.0,0.8753785,True,75.66948100924492
JQ-1:navitoclax (2:1 mol/mol),527,0.27714768,0.14346448,0.0,0.8395811,True,75.6057787835598
Navitoclax,500,0.12780303,0.15119879,0.0,0.8237341,True,75.59939473867416
GMX-1778,533,0.16922458,0.14093891,0.0,0.78368753,True,75.12043789029121
Birinapant,518,0.084088154,0.14460756,0.0,0.9538296,True,74.90671548247337
JQ1 compound,534,0.25538734,0.13994291,0.0,0.6850806,True,74.72951620817184
decitabine:carboplatin (1:1 mol/mol),529,0.10251485,0.14017949,0.0,0.7259063,True,74.15494760870934
Gsk-461364,337,0.5288575,0.21862435,0.0,0.9788215,True,73.67640709877014
selumetinib:GDC-0941 (4:1 mol/mol),522,0.369289,0.14017525,0.0,0.8450872,True,73.17148214578629
selumetinib:piperlongumine (8:1 mol/mol),483,0.2181508,0.15121526,0.0,0.80471027,True,73.03696829080582
Cucurbitacin I,517,0.39497265,0.14108552,0.04714287,0.786612,True,72.94121403992176
tretinoin:navitoclax (4:1 mol/mol),452,0.16569874,0.16060406,0.0,0.9113945,True,72.59303498268127
Brefeldin A,505,0.42501336,0.14324947,0.0,0.8122567,True,72.34098084270954
Sepantronium bromide,498,0.3280916,0.14481571,0.00225887,0.86722517,True,72.1182251572609
Neratinib,534,0.23141706,0.13484904,0.0,0.9184948,True,72.00938826799393
Mitomycin,482,0.28703308,0.14819969,0.0032718,0.77843297,True,71.43225172162056
Pha-793887,542,0.2325131,0.1303853,0.0,0.89731747,True,70.66882964968681
SNX-2112:bortezomib (250:1 mol/mol),525,0.3684261,0.13346136,0.0,0.77758807,True,70.06721198558807
SNS-032,481,0.36531273,0.14563738,0.0,0.78515244,True,70.05157886445522
Tanespimycin,488,0.30883595,0.14300872,0.0,0.76297534,True,69.78825724124908
Pluripotin,517,0.36188072,0.1349716,0.0,0.97976536,True,69.78031913936138
Erastin,524,0.16985916,0.13215171,0.0,0.6080633,True,69.24749499559402
AZD7762,549,0.4397877,0.12553981,0.03863287,0.9923574,True,68.92135539650917
BRD-A02303741:navitoclax (2:1 mol/mol),506,0.12354576,0.13595709,0.0,0.7599514,True,68.79428857564926
PI-103,520,0.20779261,0.13216785,0.0,0.6416821,True,68.72727990150452
Foretinib,535,0.30986857,0.1283325,0.0,0.9952901,True,68.65788519382477
Narciclasine,491,0.47630203,0.13935941,0.03633286,0.818954,True,68.42547255754471
Ixazomib,551,0.39265832,0.12381096,0.0,0.75275254,True,68.21983997523785
I-Bet151 (gsk1210151A),544,0.21999645,0.12502304,0.0,0.6815555,True,68.0125322341919
Bleomycin a2,510,0.19462547,0.13324234,0.0,0.6943569,True,67.95359283685684
Etoposide,535,0.17545924,0.12657806,0.0,0.65954435,True,67.71926358342171
Abt-737,478,0.13184975,0.14147246,0.0,0.7640854,True,67.62383532524109
selumetinib:MK-2206 (8:1 mol/mol),474,0.29880178,0.14163278,0.0,0.7798098,True,67.13393792510033
KPT185,374,0.37937245,0.17823498,0.0,0.9737513,True,66.65988233685493
Bms-754807,527,0.20739639,0.12512003,0.0,0.754825,True,65.93825520575047
apicidin,526,0.34070772,0.12533045,0.0,0.8199709,True,65.92381572723389
selumetinib:vorinostat (8:1 mol/mol),466,0.2852451,0.14027254,0.0,0.8147261,True,65.36700496077538
doxorubicin:navitoclax (2:1 mol/mol),471,0.4770016,0.13826092,0.0,0.8942908,True,65.12089137732983
UNC0638:navitoclax (1:1 mol/mol),480,0.11060932,0.13548611,0.0,0.84045076,True,65.03333330154419
Pevonedistat,475,0.23848112,0.13662986,0.0,0.7456592,True,64.89918567240238
Dexamethasone,519,0.060406215,0.124875516,0.0,0.9185956,True,64.81039264798164
navitoclax:piperlongumine (1:1 mol/mol),462,0.1957228,0.1400405,0.0,0.8263539,True,64.69871190190315
JQ-1:carboplatin (1:1 mol/mol),514,0.21930727,0.12522061,0.0,0.6144551,True,64.3633944094181
BRD-K70511574,497,0.2626287,0.12866834,0.0,0.5630559,True,63.94816401600838
Afatinib,480,0.2998701,0.13319935,0.0,0.90203536,True,63.93568754196167
Nilotinib,498,0.07551994,0.12439564,0.0,0.9868251,True,61.94902807474136
BRD-K61166597,482,0.15443935,0.12701426,0.0,0.6886614,True,61.22087547183037
ZSTK474,498,0.21364291,0.1229149,0.0,0.6752667,True,61.21162162721157
Axitinib,538,0.15333344,0.113711886,0.0,0.9806173,True,61.17699472606182
navitoclax:pluripotin (1:1 mol/mol),511,0.38961485,0.118903525,0.0,0.9865304,True,60.75970136374235
Nvp-tae 684,525,0.29051706,0.115617104,0.04986239,0.8491264,True,60.698979534208775
Ch-55,540,0.11582441,0.110709846,0.0,0.9086626,True,59.78331685066223
JQ-1:UNC0638 (2:1 mol/mol),458,0.2222927,0.13029619,0.0,0.6933646,True,59.675653010606766
Omacetaxine mepesuccinate,384,0.5501478,0.15424274,0.01107459,0.9456897,True,59.22921180725098
Gefitinib,528,0.17274164,0.112085715,0.0,0.8487664,True,59.181257486343384
carboplatin:etoposide (40:17 mol/mol),525,0.1386141,0.112425074,0.0,0.5765303,True,59.023163840174675
Pictilisib,533,0.24444523,0.11054944,0.0,0.6351277,True,58.92285283654928
ceranib-2,541,0.25601074,0.108826764,0.0,0.93398374,True,58.875279285013676
nakiterpiosin,514,0.26429617,0.11388423,0.0,0.55568904,True,58.536495730280876
Molibresib,535,0.1322728,0.10933864,0.0,0.5778612,True,58.49617302417755
Merck60,548,0.1426759,0.10665714,0.0,0.65714616,True,58.448112696409225
SMER-3,406,0.29836488,0.14381352,0.0,0.63093024,True,58.388289391994476
JQ-1:MK-0752 (1:1 mol/mol),460,0.21357809,0.12556146,0.0,0.6339632,True,57.75827199220657
Tipifarnib,534,0.12952185,0.10806611,0.0,0.5741982,True,57.70730370283127
Saracatinib,540,0.1502033,0.10656737,0.0,0.62221676,True,57.546378672122955
Sorafenib,545,0.15091303,0.10503331,0.0,0.9881248,True,57.243153005838394
Obatoclax,529,0.42235252,0.10815547,0.08504502,0.7159108,True,57.214241839945316
Nintedanib,479,0.09720605,0.11907774,0.0,0.97876143,True,57.03823846578598
tanespimycin:bortezomib (250:1 mol/mol),479,0.26253164,0.11892966,0.0,0.6736276,True,56.96730800718069
Docetaxel,252,0.5579089,0.22561541,0.0,0.99091506,True,56.85508382320404
GW843682X,479,0.15382901,0.11757652,0.0,0.67054003,True,56.31915172189474
FQI-2,515,0.20650978,0.10934588,0.0,0.5032629,True,56.31312981247902
Lovastatin,538,0.19455475,0.10336025,0.0,0.6120126,True,55.60781481862068
AM-580,514,0.1111288,0.108004116,0.0,0.888584,True,55.51411537826061
Adavosertib,493,0.2670882,0.11173582,0.0,0.56848645,True,55.08575963973999
BRD-K63431240,542,0.2820619,0.10156935,0.0,0.6519925,True,55.05058611929417
3-Cl-AHPC,453,0.26780334,0.12142616,0.0,0.625369,True,55.006049416959286
CD-437,514,0.21192054,0.10679917,0.0,0.5611016,True,54.894773572683334
KW-2449,531,0.15903285,0.10289447,0.0,0.76610833,True,54.6369636207819
Tretinoin,515,0.07535471,0.105527714,0.0,0.91183364,True,54.34677265584469
Ki8751,450,0.07587804,0.11999547,0.0,0.9698761,True,53.997960314154625
Lenvatinib,513,0.07003195,0.10330921,0.0,0.9886903,True,52.99762301892042
compound 1B,484,0.06026763,0.1085561,0.0,0.8295363,True,52.54115203022957
Indisulam,506,0.112213366,0.10338459,0.0,0.5228068,True,52.3126033693552
Quizartinib,520,0.057744343,0.10054517,0.0,0.932615,True,52.28348731994629
Fluvastatin,517,0.1523663,0.10109417,0.0,0.50454664,True,52.26568661630154
Dactolisib,390,0.3402605,0.13375679,0.0,0.8773164,True,52.16514676809311
BRD-K55116708,480,0.11833056,0.10749453,0.0,0.46542755,True,51.59737586975098
Ku-0063794,502,0.20714109,0.102278054,0.0,0.614394,True,51.34358298778534
Venetoclax,286,0.09235782,0.17911305,0.0,0.95594543,True,51.22633096575737
Entinostat,462,0.24656713,0.110507905,0.0,0.6843182,True,51.05465233325958
Erlotinib,523,0.12231206,0.09719061,0.0,0.81246525,True,50.83068958669901
TW 37,522,0.18420258,0.09716136,0.0,0.48424482,True,50.718229964375496
JQ-1:vorinostat (2:1 mol/mol),480,0.2920375,0.10508655,0.0,0.7929231,True,50.44154405593872
Lapatinib,505,0.12589508,0.099622846,0.0,0.64434606,True,50.309537053108215
tretinoin:carboplatin (2:1 mol/mol),512,0.06250365,0.09764921,0.0,0.7615635,True,49.996395111083984
SB-225002,551,0.15997432,0.090243444,0.0,0.42384636,True,49.72413755953312
CHM-1,536,0.19693184,0.0927449,0.0,0.43704322,True,49.71126735210419
Crizotinib,529,0.23894125,0.093449615,0.0,0.708505,True,49.43484630435705
Chlorambucil,523,0.101793565,0.09432832,0.0,0.67249054,True,49.33371215313673
BRD-K34222889,513,0.24333002,0.09613265,0.02114052,0.6127626,True,49.316049948334694
