compound,model_family,strategy,omics_layer_model,fold,omics_layer,raw_importance,importance_fraction
Vincristine,ElasticNet,single_omics,expr,1,expr,0.17142354953102767,1.0
Vincristine,ElasticNet,single_omics,expr,2,expr,0.18304507207358256,1.0
Vincristine,ElasticNet,single_omics,expr,3,expr,0.1804841023113113,1.0
Vincristine,ElasticNet,single_omics,expr,4,expr,0.17825751294731162,1.0
Vincristine,ElasticNet,single_omics,expr,5,expr,0.1685241134982789,1.0
Vincristine,ElasticNet,single_omics,mut,1,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,2,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,3,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,4,mut,0.0,
Vincristine,ElasticNet,single_omics,mut,5,mut,0.0,
Vincristine,ElasticNet,single_omics,cnv,1,cnv,0.0940114138647914,1.0
Vincristine,ElasticNet,single_omics,cnv,2,cnv,0.08249913406325504,1.0
Vincristine,ElasticNet,single_omics,cnv,3,cnv,0.08413979603210464,1.0
Vincristine,ElasticNet,single_omics,cnv,4,cnv,0.10510313540180505,1.0
Vincristine,ElasticNet,single_omics,cnv,5,cnv,0.09766459836282593,1.0
Vincristine,ElasticNet,early_fusion,multiomics,1,cnv,0.0019056710880249739,0.010997575317882412
Vincristine,ElasticNet,early_fusion,multiomics,1,expr,0.17137535067740828,0.9890024246821176
Vincristine,ElasticNet,early_fusion,multiomics,1,mut,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,2,cnv,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,2,expr,0.1830396115910844,1.0
Vincristine,ElasticNet,early_fusion,multiomics,2,mut,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,3,cnv,0.0003092866390943527,0.0017116333190482927
Vincristine,ElasticNet,early_fusion,multiomics,3,expr,0.18038749908737373,0.9982883666809517
Vincristine,ElasticNet,early_fusion,multiomics,3,mut,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,4,cnv,0.007745409035123885,0.042182578139809246
Vincristine,ElasticNet,early_fusion,multiomics,4,expr,0.1758708936349649,0.9578174218601907
Vincristine,ElasticNet,early_fusion,multiomics,4,mut,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,5,cnv,0.0,0.0
Vincristine,ElasticNet,early_fusion,multiomics,5,expr,0.1685278171353275,1.0
Vincristine,ElasticNet,early_fusion,multiomics,5,mut,0.0,0.0
Vincristine,ElasticNet,signal_fusion,signal_multiomics,1,expr,0.17142354953102767,1.0
Vincristine,ElasticNet,signal_fusion,signal_multiomics,2,expr,0.18304507207358256,1.0
Vincristine,ElasticNet,signal_fusion,signal_multiomics,3,expr,0.1804841023113113,1.0
Vincristine,ElasticNet,signal_fusion,signal_multiomics,4,expr,0.17825751294731162,1.0
Vincristine,ElasticNet,signal_fusion,signal_multiomics,5,expr,0.1685241134982789,1.0
