gene_name,omics_layer,mean_abs_shap,n_compounds_in_class,moa_class
S100A16,expr,0.015193390659987926,1,Kinase inhibitor
PKD1L2,expr,0.015074498951435089,1,Kinase inhibitor
TM4SF1,expr,0.01354864053428173,1,Kinase inhibitor
ABLIM3,expr,0.012919500470161438,1,Kinase inhibitor
GLMP,expr,0.006110657937824726,1,Kinase inhibitor
WASF1,expr,0.0048860423266887665,1,Kinase inhibitor
CTSD,expr,0.0043860431760549545,1,Kinase inhibitor
RTF2,cnv,0.004237095359712839,1,Kinase inhibitor
SOD3,expr,0.0035535856150090694,1,Kinase inhibitor
AHSP,cnv,0.0035110190510749817,1,Kinase inhibitor
ATP8B1,expr,0.0033993038814514875,1,Kinase inhibitor
SLC2A10,expr,0.0033067590557038784,1,Kinase inhibitor
ITGB5,expr,0.003257425967603922,1,Kinase inhibitor
IKZF1,expr,0.0029789272230118513,1,Kinase inhibitor
PTPRJ,expr,0.0028419808950275183,1,Kinase inhibitor
LAMB2,expr,0.0025153986643999815,1,Kinase inhibitor
WWC1,expr,0.002465649042278528,1,Kinase inhibitor
LPIN3,expr,0.0024396665394306183,1,Kinase inhibitor
SPTLC3,expr,0.0023516532965004444,1,Kinase inhibitor
ARHGEF37,expr,0.0020720823667943478,1,Kinase inhibitor
NUPR1,expr,0.0019576342310756445,1,Kinase inhibitor
FOSB,expr,0.00194665533490479,1,Kinase inhibitor
LIF,expr,0.0017522722482681274,1,Kinase inhibitor
PTPN21,expr,0.0017070963513106108,1,Kinase inhibitor
RHBDL2,expr,0.0016775544499978423,1,Kinase inhibitor
SLCO1B3-SLCO1B7,cnv,0.0016669731121510267,1,Kinase inhibitor
HRCT1,expr,0.00155070167966187,1,Kinase inhibitor
BTC,expr,0.0015380593249574304,1,Kinase inhibitor
CD151,expr,0.0015366062289103866,1,Kinase inhibitor
C2orf74,expr,0.0015255078906193376,1,Kinase inhibitor
PKD1L2,expr,0.007680038559919921,10,Other/Unknown
IKZF1,expr,0.004953469955944456,10,Other/Unknown
S100A16,expr,0.004186725436011329,10,Other/Unknown
PTPN21,expr,0.0035297196551255182,10,Other/Unknown
TM4SF1,expr,0.003158801815879997,10,Other/Unknown
ABLIM3,expr,0.0030139709153445436,10,Other/Unknown
PPL,expr,0.002874887733196374,10,Other/Unknown
NQO1,expr,0.002789177940576337,10,Other/Unknown
CTSD,expr,0.002666533320734743,10,Other/Unknown
PTPN7,expr,0.002642353021656163,10,Other/Unknown
LIF,expr,0.002400427908287384,10,Other/Unknown
ARHGEF28,expr,0.0022264263723627666,10,Other/Unknown
PTPRJ,expr,0.002221271822054405,10,Other/Unknown
HRCT1,expr,0.0021571878969552927,10,Other/Unknown
WWC1,expr,0.0021037725877249614,10,Other/Unknown
ATP8B1,expr,0.0020295008958783,10,Other/Unknown
C19orf33,expr,0.0020197040619677866,10,Other/Unknown
RTF2,cnv,0.001892192916420754,10,Other/Unknown
ITGB5,expr,0.0018806096515618265,10,Other/Unknown
YAP1,expr,0.0016787535190815107,10,Other/Unknown
SLC7A11,expr,0.0016481294594996143,10,Other/Unknown
RHOC,expr,0.001588678797998,10,Other/Unknown
ATP6V1G2,expr,0.0015641876321751623,10,Other/Unknown
ASNS,expr,0.0015519986605795565,10,Other/Unknown
NUPR1,expr,0.0014817381692409982,10,Other/Unknown
SAA1,expr,0.0013530796240956988,10,Other/Unknown
ANXA2,expr,0.0013117914892063708,10,Other/Unknown
PHGDH,expr,0.0012909847719129175,10,Other/Unknown
LAMB2,expr,0.001229123259690823,10,Other/Unknown
PLEC,expr,0.0010772987763630227,10,Other/Unknown
