gene_name,omics_layer,mean_abs_shap,n_compounds_in_class
PKD1L2,expr,0.022336969152092934,1
RTF2,cnv,0.011101353913545609,1
ABLIM3,expr,0.010787054896354675,1
S100A16,expr,0.00800970196723938,1
TM4SF1,expr,0.007297473959624767,1
WASF1,expr,0.006178414914757013,1
CTSD,expr,0.005548861809074879,1
SOD3,expr,0.00519841443747282,1
WWC1,expr,0.004982711747288704,1
GLMP,expr,0.003999331034719944,1
ATP8B1,expr,0.0035667712800204754,1
SLC2A10,expr,0.003531843889504671,1
STRA6,expr,0.00285433791577816,1
IKZF1,expr,0.0024091682862490416,1
ARHGEF37,expr,0.0022500664927065372,1
NUPR1,expr,0.002214594278484583,1
C2orf74,expr,0.0021293973550200462,1
ITGB5,expr,0.0020490470342338085,1
LPIN3,expr,0.0019140976946800947,1
BTC,expr,0.0018793968483805656,1
SPTLC3,expr,0.0018673979211598635,1
AHSP,cnv,0.0018372224876657128,1
PTPRJ,expr,0.0017444068798795342,1
COX4I2,cnv,0.0017411321168765426,1
CDCP1,expr,0.001700225635431707,1
LAMB2,expr,0.0016844787169247866,1
FOSB,expr,0.0016502670478075743,1
SLCO1B3-SLCO1B7,cnv,0.001557044917717576,1
RCOR2,expr,0.001541859470307827,1
CDC42EP2,expr,0.0014855643967166543,1
