gene_name,omics_layer,mean_abs_shap,n_compounds_in_class
PKD1L2,expr,0.009008073862059974,10
TM4SF1,expr,0.0035190572802093812,10
IKZF1,expr,0.003502976363233756,10
S100A16,expr,0.0031615211119060405,10
PTPN21,expr,0.0030763366645260247,10
PPL,expr,0.0030750218720640987,10
LIF,expr,0.0030042372731259094,10
CTSD,expr,0.0029314492639969103,10
ABLIM3,expr,0.0026631001106579787,10
WWC1,expr,0.0024195500518544577,10
PTPRJ,expr,0.002185512611322338,10
ATP6V1G2,expr,0.0021362146611863865,10
PTPN7,expr,0.002043051680084318,10
NQO1,expr,0.002002272615209222,10
C19orf33,expr,0.0019343952153576538,10
SLC7A11,expr,0.0019163760647643358,10
ARHGEF28,expr,0.0016655367697239853,10
ATP8B1,expr,0.0016602487594354898,10
HRCT1,expr,0.0016559211906496784,10
SAA1,expr,0.0016411589909694157,10
ITGB5,expr,0.0016335263033397495,10
RTF2,cnv,0.0015856524791161065,10
ASNS,expr,0.0015755342581542208,10
RHOC,expr,0.0015539662290393608,10
NUPR1,expr,0.0012929775912198238,10
PHGDH,expr,0.001292538788402453,10
ANXA2,expr,0.001199687049665954,10
MDFI,expr,0.001134743336297106,10
YAP1,expr,0.0011155535888974556,10
SERPINA5,expr,0.0010310780562576838,10
