gene_name,omics_layer,mean_abs_shap,n_compounds_in_class,moa_class
GPRC5A,expr,0.008499310434742186,13,Cytoskeleton/cell cycle
SYTL2,expr,0.0038050592302170116,13,Cytoskeleton/cell cycle
THBS1,expr,0.003414711892569008,13,Cytoskeleton/cell cycle
PLAAT3,expr,0.003192442135514284,13,Cytoskeleton/cell cycle
MYOF,expr,0.0029984057358048563,13,Cytoskeleton/cell cycle
TM4SF18,expr,0.0027301666564898577,13,Cytoskeleton/cell cycle
GPRC5B,expr,0.0026538204531159583,13,Cytoskeleton/cell cycle
MDFI,expr,0.0025166316750423554,13,Cytoskeleton/cell cycle
RGL3,expr,0.0023129056149068326,13,Cytoskeleton/cell cycle
EPS8,expr,0.0022544415061509847,13,Cytoskeleton/cell cycle
ADGRG1,expr,0.002115152106538377,13,Cytoskeleton/cell cycle
PLK2,expr,0.002096845520939566,13,Cytoskeleton/cell cycle
LXN,expr,0.0020754901902714316,13,Cytoskeleton/cell cycle
SDC4,expr,0.0019991883477464747,13,Cytoskeleton/cell cycle
TM4SF1,expr,0.0019237497891971054,13,Cytoskeleton/cell cycle
KDELR3,expr,0.0019073052467669745,13,Cytoskeleton/cell cycle
PRSS23,expr,0.0018635653910818151,13,Cytoskeleton/cell cycle
IGFBP4,expr,0.0018555526089935133,13,Cytoskeleton/cell cycle
FOXA2,cnv,0.0018195180969786844,13,Cytoskeleton/cell cycle
MC3R,cnv,0.0016890237541072285,13,Cytoskeleton/cell cycle
CPVL,expr,0.0016088765777777343,13,Cytoskeleton/cell cycle
CLPS,cnv,0.001461284967472938,13,Cytoskeleton/cell cycle
MYB,cnv,0.0013366961182048097,13,Cytoskeleton/cell cycle
S100A16,expr,0.0012998525799048366,13,Cytoskeleton/cell cycle
ITGA3,expr,0.0012712759875844663,13,Cytoskeleton/cell cycle
AMOTL2,expr,0.0012224412271629821,13,Cytoskeleton/cell cycle
S100A13,expr,0.001211319738453872,13,Cytoskeleton/cell cycle
ABLIM3,expr,0.0010596075499926462,13,Cytoskeleton/cell cycle
NQO1,expr,0.0010504231059502882,13,Cytoskeleton/cell cycle
MFAP2,expr,0.0010429322447425176,13,Cytoskeleton/cell cycle
SLFN11,expr,0.005767558688627573,33,DNA damage/repair
MYOF,expr,0.002304461583414443,33,DNA damage/repair
GPRC5A,expr,0.0016284584053339172,33,DNA damage/repair
THBS1,expr,0.0013392671303964823,33,DNA damage/repair
ITGA3,expr,0.0012135279005264872,33,DNA damage/repair
HOOK1,expr,0.001103324684341563,33,DNA damage/repair
CORO1A,expr,0.0011010001071829747,33,DNA damage/repair
PPIC,expr,0.0010893381779899782,33,DNA damage/repair
INPP5D,expr,0.0009081753573844143,33,DNA damage/repair
CLPS,cnv,0.0007762849681140241,33,DNA damage/repair
AXL,expr,0.0007387561985107519,33,DNA damage/repair
EPS8,expr,0.0007374590426097298,33,DNA damage/repair
SDC4,expr,0.0007295126503956426,33,DNA damage/repair
SOX2,cnv,0.0007176532878964171,33,DNA damage/repair
IKZF1,expr,0.0006506363839317794,33,DNA damage/repair
S100A16,expr,0.000621394652060906,33,DNA damage/repair
MET,expr,0.0006070843557305731,33,DNA damage/repair
MATN2,expr,0.0006051414954223825,33,DNA damage/repair
FABP5,expr,0.000585629958445197,33,DNA damage/repair
TM4SF1,expr,0.0005838275245065288,33,DNA damage/repair
TNFRSF12A,expr,0.0005832901231986976,33,DNA damage/repair
MDFI,expr,0.0005792061934478239,33,DNA damage/repair
ABCC3,expr,0.0005724423484569784,33,DNA damage/repair
STRA6,expr,0.0005651361131888486,33,DNA damage/repair
NREP,expr,0.0005616339926539447,33,DNA damage/repair
PLAAT3,expr,0.0005545310751641051,33,DNA damage/repair
MC3R,cnv,0.0005337287609098563,33,DNA damage/repair
FOSB,expr,0.0004986854317352977,33,DNA damage/repair
GPRC5B,expr,0.00048796291624360794,33,DNA damage/repair
SYTL2,expr,0.00048332180920789887,33,DNA damage/repair
MYOF,expr,0.0031753398179716896,19,Epigenetic
LAMB2,expr,0.0024587525911460703,19,Epigenetic
EPHA2,expr,0.0019477686269774015,19,Epigenetic
AMOTL2,expr,0.0016743376463517435,19,Epigenetic
CCN1,expr,0.0015461115702380898,19,Epigenetic
GPX8,expr,0.0014507013402001241,19,Epigenetic
GPRC5A,expr,0.0011720556791906826,19,Epigenetic
FGF2,expr,0.001158584920990267,19,Epigenetic
PLAAT3,expr,0.0010951206613873709,19,Epigenetic
CLPS,cnv,0.0010136538393405651,19,Epigenetic
CAV1,expr,0.0009876548659265513,19,Epigenetic
EGFR,expr,0.0009683556130599563,19,Epigenetic
CORO1A,expr,0.0009247992651173837,19,Epigenetic
ARHGAP4,expr,0.0008221288225716929,19,Epigenetic
NQO1,expr,0.0007585553177800888,19,Epigenetic
PHLDA1,expr,0.000758404344579551,19,Epigenetic
PLK2,expr,0.0006761677406853108,19,Epigenetic
INPP5D,expr,0.0006183312374272837,19,Epigenetic
IKZF1,expr,0.0006177871367933557,19,Epigenetic
ERRFI1,expr,0.0006023638445400904,19,Epigenetic
GPRC5B,expr,0.0005911723554307077,19,Epigenetic
TNFRSF12A,expr,0.0005359058762187966,19,Epigenetic
PRSS23,expr,0.0005348794999774423,19,Epigenetic
NREP,expr,0.0005137203276633859,19,Epigenetic
PLBD1,expr,0.0005101712250046532,19,Epigenetic
MFAP2,expr,0.0004893205594654367,19,Epigenetic
SPN,expr,0.000470438829492387,19,Epigenetic
TGFB2,expr,0.0004656503089258398,19,Epigenetic
TM4SF1,expr,0.0004602072646303225,19,Epigenetic
P3H2,expr,0.0004524485724878583,19,Epigenetic
GPRC5A,expr,0.002019313696509276,105,Kinase inhibitor
MET,expr,0.0010372385774103134,105,Kinase inhibitor
RGL3,expr,0.0008996213452432823,105,Kinase inhibitor
SDC4,expr,0.0008663399797773948,105,Kinase inhibitor
NREP,expr,0.0008183322644635198,105,Kinase inhibitor
ADGRG1,expr,0.00067944604956037,105,Kinase inhibitor
SYTL2,expr,0.0006323146219212309,105,Kinase inhibitor
THBS1,expr,0.0006151533655494035,105,Kinase inhibitor
CLPS,cnv,0.0006136980177004824,105,Kinase inhibitor
ITGA3,expr,0.0006098932059070908,105,Kinase inhibitor
DUSP6,expr,0.0005407035899961123,105,Kinase inhibitor
EPS8,expr,0.0005367915813394575,105,Kinase inhibitor
LXN,expr,0.0005086432438323148,105,Kinase inhibitor
CPVL,expr,0.0005028649376548682,105,Kinase inhibitor
S100A9,expr,0.0005026605138401205,105,Kinase inhibitor
CORO1A,expr,0.0004971582411642539,105,Kinase inhibitor
PHLDA1,expr,0.0004818330403682445,105,Kinase inhibitor
PPIC,expr,0.00048109400426190924,105,Kinase inhibitor
GPRC5B,expr,0.0004762026254021683,105,Kinase inhibitor
CCL3L3,cnv,0.0004730846498695146,105,Kinase inhibitor
TNFRSF12A,expr,0.00046962505091685324,105,Kinase inhibitor
PLK2,expr,0.00046616930685667327,105,Kinase inhibitor
MLPH,expr,0.00046213557443533797,105,Kinase inhibitor
PLAAT3,expr,0.00046040991690980655,105,Kinase inhibitor
MYOF,expr,0.0004563956792413224,105,Kinase inhibitor
PRSS23,expr,0.0004447716359379683,105,Kinase inhibitor
S100A13,expr,0.00044430184995386903,105,Kinase inhibitor
GPX8,expr,0.0004375405321373667,105,Kinase inhibitor
DLC1,expr,0.00042473834716713014,105,Kinase inhibitor
KDELR3,expr,0.0004215631653561927,105,Kinase inhibitor
SLFN11,expr,0.0031841084323787072,36,Metabolic
NQO1,expr,0.0017543194981423464,36,Metabolic
GPRC5A,expr,0.0013790273007493346,36,Metabolic
NREP,expr,0.001266270456603201,36,Metabolic
ITGA3,expr,0.0010964535484466371,36,Metabolic
ERBB3,expr,0.0010107922278892703,36,Metabolic
MYOF,expr,0.0009896684739740319,36,Metabolic
SDC4,expr,0.0009254264805033725,36,Metabolic
MGST1,expr,0.0008867917209979876,36,Metabolic
ALDH3A1,expr,0.0008484187659216028,36,Metabolic
KDELR3,expr,0.0007666413071092393,36,Metabolic
CORO1A,expr,0.0007495275134109155,36,Metabolic
EPS8,expr,0.0007432492619033029,36,Metabolic
KYNU,expr,0.0007363903069924996,36,Metabolic
FADS2,expr,0.0007099602580290644,36,Metabolic
SYTL2,expr,0.0006926289996348108,36,Metabolic
MFNG,expr,0.0006665642005840608,36,Metabolic
SOX2,cnv,0.0006255771746697607,36,Metabolic
ACKR3,expr,0.0006057072374940415,36,Metabolic
NUPR1,expr,0.0005666419134702968,36,Metabolic
AKR1B10,expr,0.0005569439014563057,36,Metabolic
MATN2,expr,0.000556259473111393,36,Metabolic
S100A2,expr,0.0005167425568346731,36,Metabolic
CES1,expr,0.0005107584004677948,36,Metabolic
PHGDH,expr,0.0005105499499664904,36,Metabolic
GPX3,expr,0.0004999999245253801,36,Metabolic
MGLL,expr,0.0004909893017131455,36,Metabolic
NEFL,expr,0.00048224794999087963,36,Metabolic
NES,expr,0.00048139405009963967,36,Metabolic
LIMD2,expr,0.00047024587672694906,36,Metabolic
GPRC5A,expr,0.0013335525304150374,111,Other/Unknown
MYOF,expr,0.0010580593143540765,111,Other/Unknown
CORO1A,expr,0.000701603418960289,111,Other/Unknown
LAMB2,expr,0.0006144507387805763,111,Other/Unknown
CLPS,cnv,0.00057650607801521,111,Other/Unknown
SDC4,expr,0.0005704884715700049,111,Other/Unknown
NQO1,expr,0.0005638849793239682,111,Other/Unknown
SYTL2,expr,0.0005600025653747834,111,Other/Unknown
SLFN11,expr,0.000558107028664094,111,Other/Unknown
THBS1,expr,0.0005259871915424466,111,Other/Unknown
MGLL,expr,0.000516453619531382,111,Other/Unknown
KDELR3,expr,0.0005159492510631582,111,Other/Unknown
EPS8,expr,0.0004476717320866154,111,Other/Unknown
ABCC3,expr,0.0004462062309251344,111,Other/Unknown
NREP,expr,0.00044435539023207876,111,Other/Unknown
ITGA3,expr,0.0004436290315078958,111,Other/Unknown
ASPH,expr,0.0004367614910222016,111,Other/Unknown
AMOTL2,expr,0.00040306254956411,111,Other/Unknown
YAP1,expr,0.0003957237752635555,111,Other/Unknown
EPHA2,expr,0.00038351624091667764,111,Other/Unknown
RGL3,expr,0.00037933465744537635,111,Other/Unknown
PLAAT3,expr,0.0003727918374157558,111,Other/Unknown
