compound,coverage,aac_std,manual_moa_class,pubchem_link,chembl_link,google_link
CAY10618,544,0.18722673,,https://pubchem.ncbi.nlm.nih.gov/#query=CAY10618,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CAY10618,https://www.google.com/search?q=CAY10618%20mechanism%20of%20action
I-Bet151 (gsk1210151A),544,0.12502304,,https://pubchem.ncbi.nlm.nih.gov/#query=I-Bet151%20%28gsk1210151A%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=I-Bet151%20%28gsk1210151A%29,https://www.google.com/search?q=I-Bet151%20%28gsk1210151A%29%20mechanism%20of%20action
N-Hexanoylsphingosine,544,0.04574808,,https://pubchem.ncbi.nlm.nih.gov/#query=N-Hexanoylsphingosine,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=N-Hexanoylsphingosine,https://www.google.com/search?q=N-Hexanoylsphingosine%20mechanism%20of%20action
Ciclopirox,543,0.084393546,,https://pubchem.ncbi.nlm.nih.gov/#query=Ciclopirox,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Ciclopirox,https://www.google.com/search?q=Ciclopirox%20mechanism%20of%20action
Pha-793887,542,0.1303853,,https://pubchem.ncbi.nlm.nih.gov/#query=Pha-793887,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Pha-793887,https://www.google.com/search?q=Pha-793887%20mechanism%20of%20action
sirolimus:bortezomib (250:1 mol/mol),542,0.16007815,,https://pubchem.ncbi.nlm.nih.gov/#query=sirolimus%3Abortezomib%20%28250%3A1%20mol/mol%29,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=sirolimus%3Abortezomib%20%28250%3A1%20mol/mol%29,https://www.google.com/search?q=sirolimus%3Abortezomib%20%28250%3A1%20mol/mol%29%20mechanism%20of%20action
BRD-K63431240,542,0.10156935,,https://pubchem.ncbi.nlm.nih.gov/#query=BRD-K63431240,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=BRD-K63431240,https://www.google.com/search?q=BRD-K63431240%20mechanism%20of%20action
ceranib-2,541,0.108826764,,https://pubchem.ncbi.nlm.nih.gov/#query=ceranib-2,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ceranib-2,https://www.google.com/search?q=ceranib-2%20mechanism%20of%20action
NVP-BSK805,539,0.068945445,,https://pubchem.ncbi.nlm.nih.gov/#query=NVP-BSK805,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NVP-BSK805,https://www.google.com/search?q=NVP-BSK805%20mechanism%20of%20action
ML162,538,0.17241228,,https://pubchem.ncbi.nlm.nih.gov/#query=ML162,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ML162,https://www.google.com/search?q=ML162%20mechanism%20of%20action
