gene_name,omics_layer,mean_abs_shap,n_compounds_in_class
SLFN11,expr,0.005767558688627573,33
MYOF,expr,0.002304461583414443,33
GPRC5A,expr,0.0016284584053339172,33
THBS1,expr,0.0013392671303964823,33
ITGA3,expr,0.0012135279005264872,33
HOOK1,expr,0.001103324684341563,33
CORO1A,expr,0.0011010001071829747,33
PPIC,expr,0.0010893381779899782,33
INPP5D,expr,0.0009081753573844143,33
CLPS,cnv,0.0007762849681140241,33
AXL,expr,0.0007387561985107519,33
EPS8,expr,0.0007374590426097298,33
SDC4,expr,0.0007295126503956426,33
SOX2,cnv,0.0007176532878964171,33
IKZF1,expr,0.0006506363839317794,33
S100A16,expr,0.000621394652060906,33
MET,expr,0.0006070843557305731,33
MATN2,expr,0.0006051414954223825,33
FABP5,expr,0.000585629958445197,33
TM4SF1,expr,0.0005838275245065288,33
TNFRSF12A,expr,0.0005832901231986976,33
MDFI,expr,0.0005792061934478239,33
ABCC3,expr,0.0005724423484569784,33
STRA6,expr,0.0005651361131888486,33
NREP,expr,0.0005616339926539447,33
PLAAT3,expr,0.0005545310751641051,33
MC3R,cnv,0.0005337287609098563,33
FOSB,expr,0.0004986854317352977,33
GPRC5B,expr,0.00048796291624360794,33
SYTL2,expr,0.00048332180920789887,33
