gene_name,omics_layer,mean_abs_shap,n_compounds_in_class
MYOF,expr,0.0031753398179716896,19
LAMB2,expr,0.0024587525911460703,19
EPHA2,expr,0.0019477686269774015,19
AMOTL2,expr,0.0016743376463517435,19
CCN1,expr,0.0015461115702380898,19
GPX8,expr,0.0014507013402001241,19
GPRC5A,expr,0.0011720556791906826,19
FGF2,expr,0.001158584920990267,19
PLAAT3,expr,0.0010951206613873709,19
CLPS,cnv,0.0010136538393405651,19
CAV1,expr,0.0009876548659265513,19
EGFR,expr,0.0009683556130599563,19
CORO1A,expr,0.0009247992651173837,19
ARHGAP4,expr,0.0008221288225716929,19
NQO1,expr,0.0007585553177800888,19
PHLDA1,expr,0.000758404344579551,19
PLK2,expr,0.0006761677406853108,19
INPP5D,expr,0.0006183312374272837,19
IKZF1,expr,0.0006177871367933557,19
ERRFI1,expr,0.0006023638445400904,19
GPRC5B,expr,0.0005911723554307077,19
TNFRSF12A,expr,0.0005359058762187966,19
PRSS23,expr,0.0005348794999774423,19
NREP,expr,0.0005137203276633859,19
PLBD1,expr,0.0005101712250046532,19
MFAP2,expr,0.0004893205594654367,19
SPN,expr,0.000470438829492387,19
TGFB2,expr,0.0004656503089258398,19
TM4SF1,expr,0.0004602072646303225,19
P3H2,expr,0.0004524485724878583,19
