gene_name,omics_layer,mean_abs_shap,n_compounds_in_class
SLFN11,expr,0.0031841084323787072,36
NQO1,expr,0.0017543194981423464,36
GPRC5A,expr,0.0013790273007493346,36
NREP,expr,0.001266270456603201,36
ITGA3,expr,0.0010964535484466371,36
ERBB3,expr,0.0010107922278892703,36
MYOF,expr,0.0009896684739740319,36
SDC4,expr,0.0009254264805033725,36
MGST1,expr,0.0008867917209979876,36
ALDH3A1,expr,0.0008484187659216028,36
KDELR3,expr,0.0007666413071092393,36
CORO1A,expr,0.0007495275134109155,36
EPS8,expr,0.0007432492619033029,36
KYNU,expr,0.0007363903069924996,36
FADS2,expr,0.0007099602580290644,36
SYTL2,expr,0.0006926289996348108,36
MFNG,expr,0.0006665642005840608,36
SOX2,cnv,0.0006255771746697607,36
ACKR3,expr,0.0006057072374940415,36
NUPR1,expr,0.0005666419134702968,36
AKR1B10,expr,0.0005569439014563057,36
MATN2,expr,0.000556259473111393,36
S100A2,expr,0.0005167425568346731,36
CES1,expr,0.0005107584004677948,36
PHGDH,expr,0.0005105499499664904,36
GPX3,expr,0.0004999999245253801,36
MGLL,expr,0.0004909893017131455,36
NEFL,expr,0.00048224794999087963,36
NES,expr,0.00048139405009963967,36
LIMD2,expr,0.00047024587672694906,36
